No_Die,Etching_Chamber,Process 3,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,Lot_Num,Wafer_Num,Datetime
NOLSM357146357,3,Etching,680.0,1517.0,3663.0,5711.0,71.161,52.149,1.045,14,33,02-03-2026
NOLSM358147358,1,Etching,485.0,1505.0,3677.0,5699.0,70.423,52.148,1.033,14,34,02-03-2026
NOLSM359148359,2,Etching,489.0,1657.0,3669.0,5743.0,68.866,50.065,1.004,14,35,02-03-2026
NOLSM360149360,3,Etching,418.0,1583.0,3651.0,5709.0,70.639,51.593,1.005,14,36,02-03-2026
NOLSM3611410361,1,Etching,405.0,1572.0,3630.0,5693.0,70.747,50.321,1.025,14,37,02-03-2026
NOLSM3621411362,2,Etching,381.0,1485.0,3671.0,5722.0,70.321,52.238,1.011,14,38,02-03-2026
NOLSM3631412363,3,Etching,203.0,1615.0,3659.0,5709.0,70.86,51.687,1.044,14,39,02-03-2026
NOLSM3641413364,1,Etching,446.0,1422.0,3639.0,5699.0,69.133,50.789,1.004,14,40,02-03-2026
NOLSM3651414365,2,Etching,125.0,1395.0,3642.0,5737.0,69.702,50.383,1.068,14,41,02-03-2026
NOLSM3661415366,3,Etching,443.0,1532.0,3670.0,5712.0,70.583,50.799,1.018,14,42,02-03-2026
NOLSM3671416367,1,Etching,473.0,1341.0,3657.0,5714.0,70.414,51.688,1.034,14,43,02-03-2026
NOLSM3681417368,2,Etching,298.0,1564.0,3652.0,5724.0,70.48,50.721,0.988,14,44,02-03-2026
NOLSM3691418369,3,Etching,467.0,1532.0,3657.0,5731.0,71.519,49.98,1.066,14,45,02-03-2026
NOLSM3701419370,1,Etching,310.0,1377.0,3641.0,5732.0,71.071,50.758,1.035,14,46,02-03-2026
NOLSM3711420371,2,Etching,273.0,1489.0,3650.0,5722.0,71.294,50.009,1.012,14,47,02-03-2026
NOLSM3721421372,3,Etching,582.0,1576.0,3668.0,5746.0,69.354,50.718,1.02,14,48,02-03-2026
NOLSM3731422373,1,Etching,427.0,1548.0,3666.0,5689.0,70.906,50.855,1.037,14,49,02-03-2026
NOLSM3741423374,2,Etching,469.0,1460.0,3691.0,5703.0,69.792,51.891,1.01,14,50,02-03-2026
NOLSM3751424375,3,Etching,470.0,1495.0,3669.0,5715.0,70.904,51.018,1.038,14,51,02-03-2026
NOLSM3761425376,1,Etching,310.0,1449.0,3634.0,5711.0,71.924,50.918,1.004,14,52,02-03-2026
NOLSM3771426377,2,Etching,-18.0,1527.0,3701.0,5702.0,70.794,50.944,1.026,14,53,02-03-2026
NOLSM3781427378,3,Etching,267.0,1377.0,3645.0,5695.0,71.566,50.723,1.047,14,54,02-03-2026
NOLSM352141,3,Etching,166.0,1518.0,3663.0,5700.0,71.259,51.068,1.033,14,1,02-03-2026
NOLSM353142,2,Etching,355.0,1605.0,3665.0,5711.0,71.105,51.201,1.023,14,2,02-03-2026
NOLSM354143,1,Etching,341.0,1635.0,3640.0,5699.0,71.861,49.342,1.036,14,3,02-03-2026
NOLSM355144,1,Etching,304.0,1499.0,3654.0,5712.0,72.316,51.908,1.037,14,4,02-03-2026
NOLSM356145,2,Etching,443.0,1421.0,3625.0,5707.0,71.392,51.661,1.014,14,5,02-03-2026
NOLSM357146,3,Etching,680.0,1517.0,3663.0,5711.0,71.161,52.149,1.045,14,6,02-03-2026
NOLSM358147,2,Etching,485.0,1505.0,3677.0,5699.0,70.423,52.148,1.033,14,7,02-03-2026
NOLSM359148,1,Etching,489.0,1657.0,3669.0,5743.0,68.866,50.065,1.004,14,8,02-03-2026
NOLSM360149,1,Etching,418.0,1583.0,3651.0,5709.0,70.639,51.593,1.005,14,9,02-03-2026
NOLSM3611410,2,Etching,405.0,1572.0,3630.0,5693.0,70.747,50.321,1.025,14,10,02-03-2026
NOLSM3621411,3,Etching,381.0,1485.0,3671.0,5722.0,70.321,52.238,1.011,14,11,02-03-2026
NOLSM3631412,3,Etching,203.0,1615.0,3659.0,5709.0,70.86,51.687,1.044,14,12,02-03-2026
NOLSM3641413,2,Etching,446.0,1422.0,3639.0,5699.0,69.133,50.789,1.004,14,13,02-03-2026
NOLSM3651414,1,Etching,125.0,1395.0,3642.0,5737.0,69.702,50.383,1.068,14,14,02-03-2026
NOLSM3661415,1,Etching,443.0,1532.0,3670.0,5712.0,70.583,50.799,1.018,14,15,02-03-2026
NOLSM3671416,2,Etching,473.0,1341.0,3657.0,5714.0,70.414,51.688,1.034,14,16,02-03-2026
NOLSM3681417,3,Etching,298.0,1564.0,3652.0,5724.0,70.48,50.721,0.988,14,17,02-03-2026
NOLSM3691418,3,Etching,467.0,1532.0,3657.0,5731.0,71.519,49.98,1.066,14,18,02-03-2026
NOLSM3701419,2,Etching,310.0,1377.0,3641.0,5732.0,71.071,50.758,1.035,14,19,02-03-2026
NOLSM3711420,1,Etching,273.0,1489.0,3650.0,5722.0,71.294,50.009,1.012,14,20,02-03-2026
NOLSM3721421,1,Etching,582.0,1576.0,3668.0,5746.0,69.354,50.718,1.02,14,21,02-03-2026
NOLSM3731422,2,Etching,427.0,1548.0,3666.0,5689.0,70.906,50.855,1.037,14,22,02-03-2026
NOLSM3741423,3,Etching,469.0,1460.0,3691.0,5703.0,69.792,51.891,1.01,14,23,02-03-2026
NOLSM3751424,1,Etching,470.0,1495.0,3669.0,5715.0,70.904,51.018,1.038,14,24,02-03-2026
NOLSM3761425,1,Etching,310.0,1449.0,3634.0,5711.0,71.924,50.918,1.004,14,25,02-03-2026
NOLSM3771426,2,Etching,-18.0,1527.0,3701.0,5702.0,70.794,50.944,1.026,14,26,02-03-2026
NOLSM3781427,3,Etching,267.0,1377.0,3645.0,5695.0,71.566,50.723,1.048,14,27,02-03-2026
NOLSM379151379,1,Etching,363.0,1506.0,3640.0,5706.0,71.94,51.431,1.048,15,28,03-03-2026
NOLSM380152380,2,Etching,425.0,1525.0,3662.0,5722.0,70.082,51.207,1.048,15,29,03-03-2026
NOLSM381153381,3,Etching,309.0,1465.0,3664.0,5723.0,71.146,50.255,1.047,15,30,03-03-2026
NOLSM382154382,1,Etching,285.0,1596.0,3660.0,5741.0,69.262,50.687,1.047,15,31,03-03-2026
NOLSM383155383,2,Etching,306.0,1627.0,3670.0,5722.0,69.822,51.237,1.046,15,32,03-03-2026
NOLSM384156384,3,Etching,448.0,1648.0,3654.0,5725.0,71.021,51.969,1.047,15,33,03-03-2026
NOLSM385157385,1,Etching,463.0,1247.0,3632.0,5726.0,70.563,52.148,1.051,15,34,03-03-2026
NOLSM386158386,2,Etching,250.0,1325.0,3688.0,5692.0,69.103,51.668,1.052,15,35,03-03-2026
NOLSM387159387,3,Etching,362.0,1709.0,3653.0,5732.0,70.774,51.67,1.053,15,36,03-03-2026
NOLSM3881510388,1,Etching,348.0,1468.0,3649.0,5715.0,70.769,50.224,1.056,15,37,03-03-2026
NOLSM3891511389,2,Etching,460.0,1466.0,3686.0,5714.0,69.021,50.178,1.016,15,38,03-03-2026
NOLSM3901512390,3,Etching,263.0,1390.0,3660.0,5706.0,71.792,49.794,1.024,15,39,03-03-2026
NOLSM3911513391,1,Etching,498.0,1561.0,3632.0,5724.0,70.101,50.718,1.027,15,40,03-03-2026
NOLSM3921514392,2,Etching,192.0,1665.0,3671.0,5729.0,70.711,51.041,1.011,15,41,03-03-2026
NOLSM3931515393,3,Etching,387.0,1573.0,3631.0,5718.0,71.779,51.067,1.015,15,42,03-03-2026
NOLSM3941516394,1,Etching,450.0,1526.0,3642.0,5733.0,70.586,51.288,0.999,15,43,03-03-2026
NOLSM3951517395,2,Etching,371.0,1481.0,3666.0,5727.0,70.171,51.049,1.041,15,44,03-03-2026
NOLSM3961518396,3,Etching,277.0,1588.0,3700.0,5720.0,71.033,51.23,1.033,15,45,03-03-2026
NOLSM3971519397,1,Etching,359.0,1441.0,3675.0,5716.0,71.137,50.344,1.045,15,46,03-03-2026
NOLSM3981520398,2,Etching,343.0,1441.0,3660.0,5708.0,71.234,51.012,1.014,15,47,03-03-2026
NOLSM3991521399,3,Etching,261.0,1402.0,3661.0,5699.0,71.249,49.957,1.025,15,48,03-03-2026
NOLSM4001522400,1,Etching,244.0,1509.0,3647.0,5706.0,71.169,50.752,1.056,15,49,03-03-2026
NOLSM4011523401,2,Etching,218.0,1576.0,3651.0,5690.0,71.153,50.726,1.036,15,50,03-03-2026
NOLSM4021524402,3,Etching,315.0,1709.0,3644.0,5720.0,71.196,50.504,1.028,15,51,03-03-2026
NOLSM4031525403,1,Etching,417.0,1468.0,3638.0,5732.0,71.174,50.557,1.015,15,52,03-03-2026
NOLSM4041526404,2,Etching,172.0,1466.0,3643.0,5736.0,71.287,51.336,1.009,15,53,03-03-2026
NOLSM4051527405,3,Etching,285.0,1390.0,3669.0,5729.0,71.17,50.912,1.046,15,54,03-03-2026
NOLSM379151,3,Etching,363.0,1506.0,3640.0,5706.0,71.94,51.431,1.022,15,1,03-03-2026
NOLSM380152,2,Etching,425.0,1525.0,3662.0,5722.0,70.082,51.207,1.012,15,2,03-03-2026
NOLSM381153,1,Etching,309.0,1465.0,3664.0,5723.0,71.146,50.255,1.055,15,3,03-03-2026
NOLSM382154,1,Etching,285.0,1596.0,3660.0,5741.0,69.262,50.687,1.033,15,4,03-03-2026
NOLSM383155,3,Etching,306.0,1627.0,3670.0,5722.0,69.822,51.237,1.031,15,5,03-03-2026
NOLSM384156,3,Etching,448.0,1648.0,3654.0,5725.0,71.021,51.969,1.054,15,6,03-03-2026
NOLSM385157,1,Etching,463.0,1247.0,3632.0,5726.0,70.563,52.148,1.042,15,7,03-03-2026
NOLSM386158,1,Etching,250.0,1325.0,3688.0,5692.0,69.103,51.668,1.032,15,8,03-03-2026
NOLSM387159,2,Etching,362.0,1709.0,3653.0,5732.0,70.774,51.67,1.045,15,9,03-03-2026
NOLSM3881510,3,Etching,348.0,1468.0,3649.0,5715.0,70.769,50.224,1.04,15,10,03-03-2026
NOLSM3891511,3,Etching,460.0,1466.0,3686.0,5714.0,69.021,50.178,1.016,15,11,03-03-2026
NOLSM3901512,2,Etching,263.0,1390.0,3660.0,5706.0,71.792,49.794,1.024,15,12,03-03-2026
NOLSM3911513,1,Etching,498.0,1561.0,3632.0,5724.0,70.101,50.718,1.027,15,13,03-03-2026
NOLSM3921514,1,Etching,192.0,1665.0,3671.0,5729.0,70.711,51.041,1.011,15,14,03-03-2026
NOLSM3931515,3,Etching,387.0,1573.0,3631.0,5718.0,71.779,51.067,1.015,15,15,03-03-2026
NOLSM3941516,3,Etching,450.0,1526.0,3642.0,5733.0,70.586,51.288,0.999,15,16,03-03-2026
NOLSM3951517,2,Etching,371.0,1481.0,3666.0,5727.0,70.171,51.049,1.041,15,17,03-03-2026
NOLSM3961518,1,Etching,277.0,1588.0,3700.0,5720.0,70.693,51.23,1.033,15,18,03-03-2026
NOLSM3971519,1,Etching,359.0,1441.0,3675.0,5716.0,71.747,50.344,1.045,15,19,03-03-2026
NOLSM3981520,2,Etching,343.0,1441.0,3660.0,5708.0,70.718,51.012,1.014,15,20,03-03-2026
NOLSM3991521,3,Etching,261.0,1402.0,3661.0,5699.0,70.269,49.957,1.025,15,21,03-03-2026
NOLSM4001522,3,Etching,244.0,1509.0,3647.0,5706.0,69.28,50.752,1.056,15,22,03-03-2026
NOLSM4011523,2,Etching,218.0,1576.0,3651.0,5690.0,70.841,50.726,1.036,15,23,03-03-2026
NOLSM4021524,1,Etching,315.0,1486.0,3644.0,5720.0,69.916,50.504,1.028,15,24,03-03-2026
NOLSM4031525,1,Etching,417.0,1456.0,3638.0,5732.0,69.159,50.557,1.015,15,25,03-03-2026
NOLSM4041526,3,Etching,172.0,1420.0,3643.0,5736.0,70.469,51.336,1.009,15,26,03-03-2026
NOLSM4051527,3,Etching,285.0,1506.0,3669.0,5729.0,72.095,50.087,1.046,15,27,03-03-2026
NOLSM406161406,1,Etching,230.0,1561.0,3685.0,5727.0,71.164,51.963,0.994,16,28,04-03-2026
NOLSM407162407,2,Etching,484.0,1665.0,3655.0,5694.0,71.119,53.272,1.039,16,29,04-03-2026
NOLSM408163408,3,Etching,316.0,1573.0,3625.0,5667.0,71.256,50.718,1.068,16,30,04-03-2026
NOLSM409164409,1,Etching,432.0,1526.0,3654.0,5731.0,71.402,52.102,0.993,16,31,04-03-2026
NOLSM410165410,2,Etching,316.0,1481.0,3646.0,5735.0,71.287,50.724,1.014,16,32,04-03-2026
NOLSM411166411,3,Etching,369.0,1588.0,3692.0,5721.0,70.678,50.849,1.031,16,33,04-03-2026
NOLSM412167412,1,Etching,489.0,1441.0,3657.0,5744.0,70.09,51.179,1.045,16,34,04-03-2026
NOLSM413168413,2,Etching,363.0,1441.0,3683.0,5698.0,70.335,51.177,1.023,16,35,04-03-2026
NOLSM414169414,3,Etching,276.0,1402.0,3681.0,5732.0,70.457,51.828,1.062,16,36,04-03-2026
NOLSM4151610415,1,Etching,214.0,1456.0,3645.0,5727.0,71.716,51.486,1.023,16,37,04-03-2026
NOLSM4161611416,2,Etching,319.0,1623.0,3671.0,5740.0,70.512,51.429,1.019,16,38,04-03-2026
NOLSM4171612417,3,Etching,253.0,1438.0,3633.0,5720.0,70.999,50.959,1.037,16,39,04-03-2026
NOLSM4181613418,1,Etching,385.0,1468.0,3667.0,5710.0,70.647,51.516,1.037,16,40,04-03-2026
NOLSM4191614419,2,Etching,276.0,1487.0,3645.0,5713.0,71.607,50.634,1.039,16,41,04-03-2026
NOLSM4201615420,3,Etching,292.0,1588.0,3680.0,5712.0,69.825,51.356,1.023,16,42,04-03-2026
NOLSM4211616421,1,Etching,544.0,1318.0,3663.0,5727.0,71.406,51.426,1.029,16,43,04-03-2026
NOLSM4221617422,2,Etching,298.0,1360.0,3682.0,5719.0,71.062,50.104,1.039,16,44,04-03-2026
NOLSM4231618423,3,Etching,429.0,1577.0,3627.0,5706.0,72.241,51.419,1.05,16,45,04-03-2026
NOLSM4241619424,1,Etching,625.0,1677.0,3661.0,5725.0,71.619,51.317,0.998,16,46,04-03-2026
NOLSM4251620425,2,Etching,286.0,1501.0,3680.0,5747.0,69.643,51.066,1.05,16,47,04-03-2026
NOLSM4261621426,3,Etching,321.0,1493.0,3639.0,5696.0,71.658,50.936,1.026,16,48,04-03-2026
NOLSM4271622427,1,Etching,669.0,1543.0,3668.0,5720.0,70.923,50.45,1.043,16,49,04-03-2026
NOLSM4281623428,2,Etching,219.0,1530.0,3634.0,5709.0,70.488,51.883,1.031,16,50,04-03-2026
NOLSM4291624429,3,Etching,310.0,1630.0,3643.0,5703.0,71.018,50.858,1.029,16,51,04-03-2026
NOLSM4301625430,1,Etching,186.0,1534.0,3636.0,5715.0,70.464,51.034,1.018,16,52,04-03-2026
NOLSM4311626431,2,Etching,224.0,1432.0,3653.0,5720.0,70.441,51.746,1.011,16,53,04-03-2026
NOLSM4321627432,3,Etching,464.0,1680.0,3656.0,5708.0,71.615,51.485,1.035,16,54,04-03-2026
NOLSM406161,2,Etching,230.0,1634.0,3685.0,5727.0,72.003,51.716,0.994,16,1,04-03-2026
NOLSM407162,1,Etching,484.0,1437.0,3655.0,5694.0,72.124,51.059,1.039,16,2,04-03-2026
NOLSM408163,1,Etching,316.0,1505.0,3625.0,5667.0,72.581,51.849,1.068,16,3,04-03-2026
NOLSM409164,2,Etching,432.0,1515.0,3654.0,5731.0,71.721,50.856,0.993,16,4,04-03-2026
NOLSM410165,3,Etching,316.0,1564.0,3646.0,5735.0,71.102,50.178,1.014,16,5,04-03-2026
NOLSM411166,3,Etching,369.0,1592.0,3692.0,5721.0,70.678,50.537,1.031,16,6,04-03-2026
NOLSM412167,2,Etching,489.0,1557.0,3657.0,5744.0,70.09,51.53,1.045,16,7,04-03-2026
NOLSM413168,1,Etching,363.0,1688.0,3683.0,5698.0,70.335,51.532,1.023,16,8,04-03-2026
NOLSM414169,1,Etching,276.0,1465.0,3681.0,5732.0,70.457,51.412,1.062,16,9,04-03-2026
NOLSM4151610,2,Etching,214.0,1456.0,3645.0,5727.0,71.716,50.907,1.023,16,10,04-03-2026
NOLSM4161611,3,Etching,319.0,1623.0,3671.0,5740.0,70.512,51.741,1.019,16,11,04-03-2026
NOLSM4171612,3,Etching,253.0,1438.0,3633.0,5720.0,70.999,51.225,1.037,16,12,04-03-2026
NOLSM4181613,2,Etching,385.0,1468.0,3667.0,5710.0,70.647,50.296,1.037,16,13,04-03-2026
NOLSM4191614,1,Etching,276.0,1487.0,3645.0,5713.0,71.607,50.634,1.039,16,14,04-03-2026
NOLSM4201615,1,Etching,292.0,1588.0,3680.0,5712.0,69.825,51.356,1.023,16,15,04-03-2026
NOLSM4211616,2,Etching,544.0,1318.0,3663.0,5727.0,71.406,51.426,1.029,16,16,04-03-2026
NOLSM4221617,3,Etching,298.0,1360.0,3682.0,5719.0,71.062,50.104,1.039,16,17,04-03-2026
NOLSM4231618,2,Etching,429.0,1577.0,3627.0,5706.0,72.241,51.419,1.05,16,18,04-03-2026
NOLSM4241619,1,Etching,625.0,1677.0,3661.0,5725.0,71.619,51.317,0.998,16,19,04-03-2026
NOLSM4251620,1,Etching,286.0,1501.0,3680.0,5747.0,69.643,51.066,1.05,16,20,04-03-2026
NOLSM4261621,3,Etching,321.0,1493.0,3639.0,5696.0,71.658,50.936,1.026,16,21,04-03-2026
NOLSM4271622,3,Etching,669.0,1543.0,3668.0,5720.0,70.923,50.45,1.043,16,22,04-03-2026
NOLSM4281623,2,Etching,219.0,1530.0,3634.0,5709.0,70.488,51.883,1.031,16,23,04-03-2026
NOLSM4291624,1,Etching,310.0,1630.0,3643.0,5703.0,71.018,50.858,1.029,16,24,04-03-2026
NOLSM4301625,1,Etching,186.0,1534.0,3636.0,5715.0,70.464,51.034,1.018,16,25,04-03-2026
NOLSM4311626,2,Etching,224.0,1432.0,3653.0,5720.0,70.441,51.746,1.011,16,26,04-03-2026
NOLSM4321627,3,Etching,464.0,1680.0,3656.0,5708.0,71.615,51.485,1.035,16,27,04-03-2026
NOLSM433171433,1,Etching,383.0,1500.0,3677.0,5695.0,71.885,51.539,1.018,17,28,05-03-2026
NOLSM434172434,2,Etching,180.0,1663.0,3649.0,5714.0,71.389,51.222,1.026,17,29,05-03-2026
NOLSM435173435,3,Etching,335.0,1355.0,3620.0,5734.0,72.879,50.689,1.055,17,30,05-03-2026
NOLSM436174436,1,Etching,270.0,1372.0,3678.0,5709.0,71.999,51.884,1.039,17,31,05-03-2026
NOLSM437175437,2,Etching,197.0,1570.0,3648.0,5702.0,71.542,51.623,1.029,17,32,05-03-2026
NOLSM438176438,3,Etching,392.0,1522.0,3651.0,5696.0,70.415,51.003,1.032,17,33,05-03-2026
NOLSM439177439,1,Etching,557.0,1507.0,3653.0,5697.0,71.625,51.508,1.029,17,34,05-03-2026
NOLSM440178440,2,Etching,266.0,1360.0,3678.0,5709.0,69.329,51.433,1.03,17,35,05-03-2026
NOLSM441179441,3,Etching,471.0,1709.0,3667.0,5710.0,71.466,51.876,1.047,17,36,05-03-2026
NOLSM4421710442,1,Etching,354.0,1468.0,3646.0,5708.0,71.554,50.636,1.048,17,37,05-03-2026
NOLSM4431711443,2,Etching,424.0,1466.0,3672.0,5728.0,70.799,51.133,1.048,17,38,05-03-2026
NOLSM4441712444,3,Etching,319.0,1390.0,3647.0,5737.0,70.839,51.372,1.047,17,39,05-03-2026
NOLSM4451713445,1,Etching,360.0,1561.0,3662.0,5704.0,72.306,50.665,1.047,17,40,05-03-2026
NOLSM4461714446,2,Etching,337.0,1665.0,3645.0,5727.0,71.503,50.367,1.046,17,41,05-03-2026
NOLSM4471715447,3,Etching,506.0,1573.0,3621.0,5718.0,72.064,50.912,1.047,17,42,05-03-2026
NOLSM4481716448,1,Etching,435.0,1526.0,3654.0,5751.0,71.033,51.963,1.051,17,43,05-03-2026
NOLSM4491717449,2,Etching,337.0,1481.0,3639.0,5729.0,71.134,53.272,1.052,17,44,05-03-2026
NOLSM4501718450,3,Etching,268.0,1588.0,3673.0,5694.0,70.685,50.718,1.053,17,45,05-03-2026
NOLSM4511719451,1,Etching,398.0,1441.0,3668.0,5716.0,68.15,52.102,1.056,17,46,05-03-2026
NOLSM4521720452,2,Etching,435.0,1441.0,3665.0,5689.0,73.081,50.724,1.022,17,47,05-03-2026
NOLSM4531721453,3,Etching,337.0,1402.0,3656.0,5714.0,71.234,50.849,1.029,17,48,05-03-2026
NOLSM4541722454,1,Etching,207.0,1517.0,3613.0,5723.0,70.287,51.179,1.055,17,49,05-03-2026
NOLSM4551723455,2,Etching,298.0,1575.0,3682.0,5737.0,71.399,51.177,1.015,17,50,05-03-2026
NOLSM4561724456,3,Etching,511.0,1487.0,3674.0,5688.0,72.158,51.828,1.054,17,51,05-03-2026
NOLSM4571725457,1,Etching,291.0,1623.0,3667.0,5730.0,71.972,51.486,1.035,17,52,05-03-2026
