No_Die,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Lot_Num,Wafer_Num,Datetime
NOLSM3361312,2,Implantation,1.06e+16,1.63e+17,2.2e+17,3.03e+17,6e+17,31196.102,104.54,892.0,154,13,12,01-03-2026
NOLSM3371313,1,Implantation,1.13e+16,-1.31e+16,5.4e+17,3e+17,6e+17,31201.477,103.231,902.0,158,13,13,01-03-2026
NOLSM3381314,1,Implantation,1.17e+16,1.1e+17,4.95e+17,3e+17,6e+17,31084.207,101.561,895.0,153,13,14,01-03-2026
NOLSM3391315,2,Implantation,1.18e+16,8.54e+16,4.07e+17,3.01e+17,6e+17,32253.776,102.869,904.0,155,13,15,01-03-2026
NOLSM3401316,3,Implantation,1.42e+16,8.73e+16,5.93e+17,3e+17,6e+17,31446.324,102.759,882.0,155,13,16,01-03-2026
NOLSM3411317,3,Implantation,7834450000000000.0,1.31e+17,3.65e+17,3.03e+17,6e+17,32773.392,105.126,896.0,150,13,17,01-03-2026
NOLSM3421318,2,Implantation,1.08e+16,3.69e+16,5.43e+17,2.99e+17,6e+17,31202.426,100.703,898.0,155,13,18,01-03-2026
NOLSM3431319,1,Implantation,1.17e+16,9.08e+16,1.99e+17,3.01e+17,6e+17,31661.976,101.119,891.0,149,13,19,01-03-2026
NOLSM3441320,1,Implantation,1.34e+16,7.75e+16,4.48e+17,2.99e+17,6e+17,30785.849,103.203,880.0,156,13,20,01-03-2026
NOLSM3451321,3,Implantation,1.19e+16,8.61e+16,5.08e+17,2.99e+17,6e+17,31765.567,102.207,878.0,156,13,21,01-03-2026
NOLSM3461322,3,Implantation,1.24e+16,1.3e+17,2.17e+17,3.01e+17,6e+17,30901.365,101.874,912.0,155,13,22,01-03-2026
NOLSM3471323,2,Implantation,1.66e+16,2.38e+17,1.03e+18,3e+17,6e+17,31877.743,101.707,914.0,155,13,23,01-03-2026
NOLSM3481324,1,Implantation,1.15e+16,1.09e+17,7.63e+17,3e+17,6e+17,30107.396,102.811,899.0,156,13,24,01-03-2026
NOLSM3491325,1,Implantation,9265880000000000.0,9.56e+16,4.79e+17,2.99e+17,6e+17,32048.247,102.598,903.0,157,13,25,01-03-2026
NOLSM3501326,2,Implantation,1.88e+16,1.53e+16,7.91e+17,3e+17,6e+17,31221.028,104.234,879.0,155,13,26,01-03-2026
NOLSM3511327,3,Implantation,7195690000000000.0,1.3e+17,5.99e+17,3e+17,6e+17,31645.163,100.57,890.0,157,13,27,01-03-2026
NOLSM352141352,1,Implantation,1.09e+16,-4.12e+16,9.74e+17,3.03e+17,6e+17,31292.665,100.718,899.0,151,14,28,02-03-2026
NOLSM353142353,2,Implantation,1.14e+16,7.25e+16,8.05e+17,2.99e+17,6e+17,32015.142,103.175,874.0,155,14,29,02-03-2026
NOLSM354143354,3,Implantation,1.62e+16,8.58e+16,4.53e+17,3.01e+17,6e+17,30828.379,102.963,882.0,158,14,30,02-03-2026
NOLSM355144355,1,Implantation,1.24e+16,1.5e+17,3.6e+17,2.99e+17,6e+17,32525.804,102.767,926.0,156,14,31,02-03-2026
NOLSM356145356,2,Implantation,1.54e+16,4.3e+16,5.93e+17,3.02e+17,6e+17,31584.1,102.448,925.0,156,14,32,02-03-2026
NOLSM357146357,3,Implantation,1.65e+16,1.26e+17,8.12e+17,3e+17,6e+17,31743.858,104.18,914.0,156,14,33,02-03-2026
NOLSM358147358,1,Implantation,7240550000000000.0,1.96e+17,5.41e+17,2.96e+17,6e+17,32590.44,106.173,915.0,154,14,34,02-03-2026
NOLSM359148359,2,Implantation,9912450000000000.0,6.1e+16,1.66e+17,3.02e+17,6e+17,32202.196,103.67,882.0,153,14,35,02-03-2026
NOLSM360149360,3,Implantation,1.38e+16,1.09e+17,7.02e+17,3e+17,6e+17,31167.976,104.326,888.0,159,14,36,02-03-2026
NOLSM3611410361,1,Implantation,1.79e+16,8.57e+16,6.04e+17,3e+17,6e+17,30598.176,102.716,860.0,155,14,37,02-03-2026
NOLSM3621411362,2,Implantation,1.07e+16,9.57e+16,2.49e+17,3.01e+17,6e+17,32095.533,103.37,902.0,155,14,38,02-03-2026
NOLSM3631412363,3,Implantation,1.44e+16,5.22e+16,9.28e+17,2.99e+17,6e+17,31074.084,101.302,893.0,155,14,39,02-03-2026
NOLSM3641413364,1,Implantation,1e+16,1.31e+17,6.99e+17,3e+17,6e+17,31732.45,104.196,912.0,153,14,40,02-03-2026
NOLSM3651414365,2,Implantation,8189790000000000.0,7.54e+16,8.47e+17,2.99e+17,6e+17,31559.581,101.5,909.0,154,14,41,02-03-2026
NOLSM3661415366,3,Implantation,8243740000000000.0,1.24e+16,8.48e+17,3e+17,6e+17,31251.253,101.809,906.0,155,14,42,02-03-2026
NOLSM3671416367,1,Implantation,8267960000000000.0,7.79e+16,5.92e+17,3e+17,6e+17,31364.131,103.785,906.0,155,14,43,02-03-2026
NOLSM3681417368,2,Implantation,1.22e+16,1.13e+17,8.25e+17,3e+17,6e+17,32166.592,102.54,911.0,153,14,44,02-03-2026
NOLSM3691418369,3,Implantation,1.18e+16,1.14e+17,4.73e+17,2.99e+17,6e+17,32602.428,104.079,917.0,160,14,45,02-03-2026
NOLSM3701419370,1,Implantation,6747510000000000.0,9.89e+16,2.11e+17,3e+17,6e+17,31126.822,103.831,894.0,156,14,46,02-03-2026
NOLSM3711420371,2,Implantation,1.49e+16,3.52e+16,4.27e+17,3.01e+17,6e+17,31795.543,104.113,875.0,154,14,47,02-03-2026
NOLSM3721421372,3,Implantation,6749140000000000.0,1.08e+17,6.22e+17,3.01e+17,6e+17,31209.028,103.854,884.0,156,14,48,02-03-2026
NOLSM3731422373,1,Implantation,2984480000000000.0,8.43e+16,6.48e+17,3.01e+17,6e+17,30954.031,99.555,895.0,155,14,49,02-03-2026
NOLSM3741423374,2,Implantation,1.58e+16,9.95e+16,3.07e+17,3.02e+17,6e+17,31265.102,101.988,916.0,150,14,50,02-03-2026
NOLSM3751424375,3,Implantation,6412500000000000.0,5498730000000000.0,4.5e+17,2.99e+17,6e+17,32267.154,104.109,907.0,155,14,51,02-03-2026
NOLSM3761425376,1,Implantation,1.54e+16,5.38e+16,2.17e+17,3.03e+17,6e+17,31799.934,104.071,917.0,150,14,52,02-03-2026
NOLSM3771426377,2,Implantation,1.23e+16,8.84e+16,6.37e+17,2.99e+17,6e+17,32222.227,104.658,893.0,157,14,53,02-03-2026
NOLSM3781427378,3,Implantation,3410280000000000.0,1.26e+17,6.61e+17,3.01e+17,6e+17,32130.349,102.474,900.0,157,14,54,02-03-2026
NOLSM352141,3,Implantation,1.09e+16,-4.12e+16,9.74e+17,3.03e+17,6e+17,31292.665,100.718,899.0,151,14,1,02-03-2026
NOLSM353142,2,Implantation,1.14e+16,7.25e+16,8.05e+17,2.99e+17,6e+17,32015.142,103.175,874.0,155,14,2,02-03-2026
NOLSM354143,1,Implantation,1.62e+16,8.58e+16,4.53e+17,3.01e+17,6e+17,30828.379,102.963,882.0,158,14,3,02-03-2026
NOLSM355144,1,Implantation,1.24e+16,1.5e+17,3.6e+17,2.99e+17,6e+17,32525.804,102.767,926.0,156,14,4,02-03-2026
NOLSM356145,2,Implantation,1.54e+16,4.3e+16,5.93e+17,3.02e+17,6e+17,31584.1,102.448,925.0,156,14,5,02-03-2026
NOLSM357146,3,Implantation,1.65e+16,1.26e+17,8.12e+17,3e+17,6e+17,31743.858,104.18,914.0,156,14,6,02-03-2026
NOLSM358147,2,Implantation,7240550000000000.0,1.96e+17,5.41e+17,2.96e+17,6e+17,32590.44,106.173,915.0,154,14,7,02-03-2026
NOLSM359148,1,Implantation,9912450000000000.0,6.1e+16,1.66e+17,3.02e+17,6e+17,32202.196,103.67,882.0,153,14,8,02-03-2026
NOLSM360149,1,Implantation,1.38e+16,1.09e+17,7.02e+17,3e+17,6e+17,31167.976,104.326,888.0,159,14,9,02-03-2026
NOLSM3611410,2,Implantation,1.79e+16,8.57e+16,6.04e+17,3e+17,6e+17,30598.176,102.716,860.0,155,14,10,02-03-2026
NOLSM3621411,3,Implantation,1.07e+16,9.57e+16,2.49e+17,3.01e+17,6e+17,32095.533,103.37,902.0,155,14,11,02-03-2026
NOLSM3631412,3,Implantation,1.44e+16,5.22e+16,9.28e+17,2.99e+17,6e+17,31074.084,101.302,893.0,155,14,12,02-03-2026
NOLSM3641413,2,Implantation,1e+16,1.31e+17,6.99e+17,3e+17,6e+17,31732.45,104.196,912.0,153,14,13,02-03-2026
NOLSM3651414,1,Implantation,8189790000000000.0,7.54e+16,8.47e+17,2.99e+17,6e+17,31559.581,101.5,909.0,154,14,14,02-03-2026
NOLSM3661415,1,Implantation,8243740000000000.0,1.24e+16,8.48e+17,3e+17,6e+17,31251.253,101.809,906.0,155,14,15,02-03-2026
NOLSM3671416,2,Implantation,8267960000000000.0,7.79e+16,5.92e+17,3e+17,6e+17,31364.131,103.785,906.0,155,14,16,02-03-2026
NOLSM3681417,3,Implantation,1.22e+16,1.13e+17,8.25e+17,3e+17,6e+17,32166.592,102.54,911.0,153,14,17,02-03-2026
NOLSM3691418,3,Implantation,1.18e+16,1.14e+17,4.73e+17,2.99e+17,6e+17,32602.428,104.079,917.0,160,14,18,02-03-2026
NOLSM3701419,2,Implantation,6747510000000000.0,9.89e+16,2.11e+17,3e+17,6e+17,31126.822,103.831,894.0,156,14,19,02-03-2026
NOLSM3711420,1,Implantation,1.49e+16,3.52e+16,4.27e+17,3.01e+17,6e+17,31795.543,104.113,875.0,154,14,20,02-03-2026
NOLSM3721421,1,Implantation,6749140000000000.0,1.08e+17,6.22e+17,3.01e+17,6e+17,31209.028,103.854,884.0,156,14,21,02-03-2026
NOLSM3731422,2,Implantation,2984480000000000.0,8.43e+16,6.48e+17,3.01e+17,6e+17,30954.031,99.555,895.0,155,14,22,02-03-2026
NOLSM3741423,3,Implantation,1.58e+16,9.95e+16,3.07e+17,3.02e+17,6e+17,31265.102,101.988,916.0,150,14,23,02-03-2026
NOLSM3751424,1,Implantation,6412500000000000.0,5498730000000000.0,4.5e+17,2.99e+17,6e+17,32267.154,104.109,907.0,155,14,24,02-03-2026
NOLSM3761425,1,Implantation,1.54e+16,5.38e+16,2.17e+17,3.03e+17,6e+17,31799.934,104.071,917.0,150,14,25,02-03-2026
NOLSM3771426,2,Implantation,1.23e+16,8.84e+16,6.37e+17,2.99e+17,6e+17,32222.227,104.658,893.0,157,14,26,02-03-2026
NOLSM3781427,3,Implantation,3410280000000000.0,1.26e+17,6.61e+17,3.01e+17,6e+17,32130.349,102.474,900.0,157,14,27,02-03-2026
NOLSM379151379,1,Implantation,2880390000000000.0,-1.2e+16,5.22e+17,3.01e+17,6e+17,32241.562,102.059,912.0,156,15,28,03-03-2026
NOLSM380152380,2,Implantation,8143840000000000.0,1.65e+17,2.54e+17,3.01e+17,6e+17,32695.351,100.52,893.0,158,15,29,03-03-2026
NOLSM381153381,3,Implantation,1.42e+16,9.77e+16,3.16e+17,2.99e+17,6e+17,32457.98,103.259,894.0,152,15,30,03-03-2026
NOLSM382154382,1,Implantation,1.23e+16,9.7e+16,3.21e+17,3.01e+17,6e+17,32385.463,100.834,901.0,155,15,31,03-03-2026
NOLSM383155383,2,Implantation,1.78e+16,6.64e+16,6.58e+17,3e+17,6e+17,32928.823,104.711,885.0,153,15,32,03-03-2026
NOLSM384156384,3,Implantation,5990400000000000.0,1.35e+17,1.14e+18,2.99e+17,6e+17,32507.472,103.749,907.0,153,15,33,03-03-2026
NOLSM385157385,1,Implantation,9964670000000000.0,5.89e+16,6.87e+17,3.01e+17,6e+17,31557.692,99.555,897.0,154,15,34,03-03-2026
NOLSM386158386,2,Implantation,7058290000000000.0,1.19e+17,5.26e+17,3e+17,6e+17,32314.849,102.377,916.0,153,15,35,03-03-2026
NOLSM387159387,3,Implantation,1.17e+16,5.23e+16,5.98e+17,3.01e+17,6e+17,32704.56,104.585,911.0,153,15,36,03-03-2026
NOLSM3881510388,1,Implantation,8723710000000000.0,1.38e+17,3.74e+17,3.01e+17,6e+17,32148.267,104.398,896.0,158,15,37,03-03-2026
NOLSM3891511389,2,Implantation,1.15e+16,1.52e+17,4.58e+17,3e+17,6e+17,32153.409,102.027,911.0,156,15,38,03-03-2026
NOLSM3901512390,3,Implantation,1.46e+16,2.69e+16,6.04e+17,3e+17,6e+17,32034.212,107.376,878.0,156,15,39,03-03-2026
NOLSM3911513391,1,Implantation,9501470000000000.0,1.14e+17,4.29e+17,3.03e+17,6e+17,30966.612,105.285,903.0,152,15,40,03-03-2026
NOLSM3921514392,2,Implantation,1.11e+16,1.46e+17,3.77e+17,3e+17,6e+17,31509.217,104.176,884.0,154,15,41,03-03-2026
NOLSM3931515393,3,Implantation,1.15e+16,9.13e+16,4.82e+17,3.03e+17,6e+17,31497.31,105.043,906.0,152,15,42,03-03-2026
NOLSM3941516394,1,Implantation,2.01e+16,1.58e+17,5.62e+17,3.01e+17,6e+17,30883.8,100.728,906.0,150,15,43,03-03-2026
NOLSM3951517395,2,Implantation,7295120000000000.0,1.79e+17,3.31e+17,3e+17,6e+17,32548.685,101.805,913.0,153,15,44,03-03-2026
NOLSM3961518396,3,Implantation,1.34e+16,8.04e+16,3.52e+17,3.01e+17,6e+17,32096.824,102.901,889.0,154,15,45,03-03-2026
NOLSM3971519397,1,Implantation,8715720000000000.0,5.58e+16,4.22e+17,3e+17,6e+17,31876.775,103.409,900.0,156,15,46,03-03-2026
NOLSM3981520398,2,Implantation,1.62e+16,5.1e+16,4.6e+17,2.99e+17,6e+17,31373.265,103.899,911.0,154,15,47,03-03-2026
NOLSM3991521399,3,Implantation,1.08e+16,7.93e+16,4.8e+17,2.98e+17,6e+17,32270.885,102.841,903.0,157,15,48,03-03-2026
NOLSM4001522400,1,Implantation,1.44e+16,1.29e+17,6.72e+17,2.99e+17,6e+17,32062.372,104.328,885.0,152,15,49,03-03-2026
NOLSM4011523401,2,Implantation,1.73e+16,9.95e+16,-6.12e+16,3e+17,6e+17,32374.895,104.18,898.0,155,15,50,03-03-2026
NOLSM4021524402,3,Implantation,8720690000000000.0,1e+17,6.54e+17,2.98e+17,6e+17,31438.723,104.829,908.0,148,15,51,03-03-2026
NOLSM4031525403,1,Implantation,7304340000000000.0,1.13e+17,6.12e+17,3e+17,6e+17,32297.342,102.555,893.0,152,15,52,03-03-2026
NOLSM4041526404,2,Implantation,1.82e+16,6.32e+16,6.9e+17,3.01e+17,6e+17,31153.753,103.587,927.0,154,15,53,03-03-2026
NOLSM4051527405,3,Implantation,1.3e+16,1.49e+17,6.14e+17,3.02e+17,6e+17,32181.305,104.43,906.0,156,15,54,03-03-2026
NOLSM379151,3,Implantation,2880390000000000.0,-1.2e+16,5.22e+17,3.01e+17,6e+17,32241.562,102.059,912.0,156,15,1,03-03-2026
NOLSM380152,2,Implantation,8143840000000000.0,1.65e+17,2.54e+17,3.01e+17,6e+17,32695.351,100.52,893.0,158,15,2,03-03-2026
NOLSM381153,1,Implantation,1.42e+16,9.77e+16,3.16e+17,2.99e+17,6e+17,32457.98,103.259,894.0,152,15,3,03-03-2026
NOLSM382154,1,Implantation,1.23e+16,9.7e+16,3.21e+17,3.01e+17,6e+17,32385.463,100.834,901.0,155,15,4,03-03-2026
NOLSM383155,3,Implantation,1.78e+16,6.64e+16,6.58e+17,3e+17,6e+17,32928.823,104.711,885.0,153,15,5,03-03-2026
NOLSM384156,3,Implantation,5990400000000000.0,1.35e+17,1.14e+18,2.99e+17,6e+17,32507.472,103.749,907.0,153,15,6,03-03-2026
NOLSM385157,1,Implantation,9964670000000000.0,5.89e+16,6.87e+17,3.01e+17,6e+17,31557.692,99.555,897.0,154,15,7,03-03-2026
NOLSM386158,1,Implantation,7058290000000000.0,1.19e+17,5.26e+17,3e+17,6e+17,32314.849,102.377,916.0,153,15,8,03-03-2026
NOLSM387159,2,Implantation,1.17e+16,5.23e+16,5.98e+17,3.01e+17,6e+17,32704.56,104.585,911.0,153,15,9,03-03-2026
NOLSM3881510,3,Implantation,8723710000000000.0,1.38e+17,3.74e+17,3.01e+17,6e+17,32148.267,104.398,896.0,158,15,10,03-03-2026
NOLSM3891511,3,Implantation,1.15e+16,1.52e+17,4.58e+17,3e+17,6e+17,32153.409,102.027,911.0,156,15,11,03-03-2026
NOLSM3901512,2,Implantation,1.46e+16,2.69e+16,6.04e+17,3e+17,6e+17,32034.212,107.376,878.0,156,15,12,03-03-2026
NOLSM3911513,1,Implantation,9501470000000000.0,1.14e+17,4.29e+17,3.03e+17,6e+17,30966.612,105.285,903.0,152,15,13,03-03-2026
NOLSM3921514,1,Implantation,1.11e+16,1.46e+17,3.77e+17,3e+17,6e+17,31509.217,104.176,884.0,154,15,14,03-03-2026
NOLSM3931515,3,Implantation,1.15e+16,9.13e+16,4.82e+17,3.03e+17,6e+17,31497.31,105.043,906.0,152,15,15,03-03-2026
NOLSM3941516,3,Implantation,2.01e+16,1.58e+17,5.62e+17,3.01e+17,6e+17,30883.8,100.728,906.0,150,15,16,03-03-2026
NOLSM3951517,2,Implantation,7295120000000000.0,1.79e+17,3.31e+17,3e+17,6e+17,32548.685,101.805,913.0,153,15,17,03-03-2026
NOLSM3961518,1,Implantation,1.34e+16,8.04e+16,3.52e+17,3.01e+17,6e+17,32096.824,102.901,889.0,154,15,18,03-03-2026
NOLSM3971519,1,Implantation,8715720000000000.0,5.58e+16,4.22e+17,3e+17,6e+17,31876.775,103.409,900.0,156,15,19,03-03-2026
NOLSM3981520,2,Implantation,1.62e+16,5.1e+16,4.6e+17,2.99e+17,6e+17,31373.265,103.899,911.0,154,15,20,03-03-2026
NOLSM3991521,3,Implantation,1.08e+16,7.93e+16,4.8e+17,2.98e+17,6e+17,32270.885,102.841,903.0,157,15,21,03-03-2026
NOLSM4001522,3,Implantation,1.44e+16,1.29e+17,6.72e+17,2.99e+17,6e+17,32062.372,104.328,885.0,152,15,22,03-03-2026
NOLSM4011523,2,Implantation,1.73e+16,9.95e+16,-6.12e+16,3e+17,6e+17,32374.895,104.18,898.0,155,15,23,03-03-2026
NOLSM4021524,1,Implantation,8720690000000000.0,1e+17,6.54e+17,2.98e+17,6e+17,31438.723,104.829,908.0,148,15,24,03-03-2026
NOLSM4031525,1,Implantation,7304340000000000.0,1.13e+17,6.12e+17,3e+17,6e+17,32297.342,102.555,893.0,152,15,25,03-03-2026
NOLSM4041526,3,Implantation,1.82e+16,6.32e+16,6.9e+17,3.01e+17,6e+17,31153.753,103.587,927.0,154,15,26,03-03-2026
NOLSM4051527,3,Implantation,1.3e+16,1.49e+17,6.14e+17,3.02e+17,6e+17,32181.305,104.43,906.0,156,15,27,03-03-2026
NOLSM406161406,1,Implantation,5169400000000000.0,1.71e+16,7.53e+17,3e+17,6e+17,31639.318,103.843,902.0,155,16,28,04-03-2026
NOLSM407162407,2,Implantation,1.3e+16,1.83e+17,3.86e+17,3.01e+17,6e+17,31468.269,102.597,923.0,153,16,29,04-03-2026
NOLSM408163408,3,Implantation,1.61e+16,7.85e+16,9.67e+17,3e+17,6e+17,30906.701,104.338,910.0,149,16,30,04-03-2026
NOLSM409164409,1,Implantation,9419110000000000.0,1.8e+17,4.59e+17,3.02e+17,6e+17,31668.747,104.576,919.0,157,16,31,04-03-2026
NOLSM410165410,2,Implantation,3162770000000000.0,5.03e+16,1.05e+18,3.01e+17,6e+17,30876.21,103.354,881.0,154,16,32,04-03-2026
NOLSM411166411,3,Implantation,1.26e+16,2.4e+16,7.29e+17,3.01e+17,6e+17,32023.057,103.827,871.0,154,16,33,04-03-2026
NOLSM412167412,1,Implantation,1.86e+16,1.38e+17,3.26e+17,3.01e+17,6e+17,32434.874,105.794,908.0,156,16,34,04-03-2026
NOLSM413168413,2,Implantation,1.06e+16,6.33e+16,5.17e+17,3.02e+17,6e+17,31494.284,104.617,891.0,157,16,35,04-03-2026
NOLSM414169414,3,Implantation,9394620000000000.0,1.8e+17,9.22e+17,2.99e+17,6e+17,30734.563,105.213,910.0,153,16,36,04-03-2026
NOLSM4151610415,1,Implantation,1.23e+16,1.48e+17,4.06e+17,3e+17,6e+17,32057.927,106.015,898.0,152,16,37,04-03-2026
NOLSM4161611416,2,Implantation,1.3e+16,1.02e+17,7.47e+17,2.99e+17,6e+17,31364.565,103.501,900.0,152,16,38,04-03-2026
NOLSM4171612417,3,Implantation,7552670000000000.0,9.44e+16,9.74e+17,3.02e+17,6e+17,32541.94,101.601,892.0,153,16,39,04-03-2026
NOLSM4181613418,1,Implantation,9647450000000000.0,4.74e+16,6.62e+17,2.98e+17,6e+17,33034.419,104.309,923.0,152,16,40,04-03-2026
NOLSM4191614419,2,Implantation,1.12e+16,1.54e+17,6.69e+17,3e+17,6e+17,31946.049,101.047,884.0,153,16,41,04-03-2026
NOLSM4201615420,3,Implantation,1.39e+16,7.15e+16,7.37e+17,3e+17,6e+17,31897.707,105.23,873.0,155,16,42,04-03-2026
NOLSM4211616421,1,Implantation,1.6e+16,9.27e+16,3.73e+17,3e+17,6e+17,32602.917,102.84,904.0,155,16,43,04-03-2026
NOLSM4221617422,2,Implantation,3598210000000000.0,1.22e+17,4.46e+17,3.01e+17,6e+17,31571.823,101.127,892.0,155,16,44,04-03-2026
NOLSM4231618423,3,Implantation,1.44e+16,2.04e+17,2.42e+17,3.02e+17,6e+17,32059.355,105.789,940.0,155,16,45,04-03-2026
NOLSM4241619424,1,Implantation,1.53e+16,1.9e+17,4.89e+17,3e+17,6e+17,31414.216,102.388,878.0,156,16,46,04-03-2026
NOLSM4251620425,2,Implantation,1.35e+16,1.2e+17,4.02e+17,3.01e+17,6e+17,31370.247,102.874,904.0,155,16,47,04-03-2026
NOLSM4261621426,3,Implantation,9301000000000000.0,6.26e+16,4.25e+17,3.01e+17,6e+17,31692.403,105.464,906.0,156,16,48,04-03-2026
