Unnamed: 0,고객ID,성별,연령,결혼여부,부양자유무,부양자수,추천횟수,영수증발급여부,과금방식,보안서비스,백업서비스,기술지원서비스,데이터무제한,데이터사용량,시작일,종료일,고객이탈여부,이탈가능점수,이탈유형,LTV,만족도,로밍사용료
59,C-10061,남성,61,Yes,No,0,10,No,신용카드,No,No,No,Yes,18,2020-02-29,2026-01-01,No,30,,5232,5,0
60,C-10062,남성,24,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,48,2023-09-01,2026-01-01,No,39,,3360,5,29040
61,C-10063,여성,55,Yes,No,0,3,Yes,계좌이체,Yes,Yes,Yes,Yes,27,2019-04-01,2026-01-01,No,37,,4216,3,43510
62,C-10065,남성,59,No,No,0,0,Yes,계좌이체,No,No,No,Yes,25,2024-12-31,2025-02-01,Yes,93,Competitor,4214,1,45990
63,C-10066,남성,71,Yes,Yes,1,9,Yes,이체/메일확인,No,Yes,No,Yes,23,2022-05-01,2026-01-01,No,62,,2844,5,36050
64,C-10067,남성,49,Yes,Yes,2,8,Yes,계좌이체,No,No,No,Yes,12,2023-09-01,2026-01-01,No,66,,5560,3,55030
65,C-10068,남성,61,Yes,No,0,1,No,계좌이체,Yes,No,Yes,Yes,10,2021-09-01,2025-10-01,Yes,73,Competitor,6452,2,44750
66,C-10069,여성,40,Yes,No,0,2,No,계좌이체,No,Yes,Yes,Yes,29,2019-02-01,2026-01-01,No,76,,5224,5,0
67,C-10070,여성,39,No,No,0,0,No,계좌이체,No,Yes,No,Yes,12,2022-04-01,2026-01-01,No,33,,4800,3,56160
68,C-10071,여성,21,No,No,0,9,Yes,계좌이체,No,No,No,No,0,2024-02-29,2026-01-01,No,54,,3831,4,56050
69,C-10072,남성,24,No,No,0,1,Yes,계좌이체,No,Yes,Yes,No,59,2024-02-29,2025-12-01,Yes,89,Attitude,4123,3,41020
70,C-10073,남성,52,Yes,Yes,1,1,No,계좌이체,Yes,Yes,No,Yes,23,2022-09-01,2025-10-01,Yes,80,Competitor,3627,2,0
71,C-10074,여성,71,No,No,0,0,Yes,신용카드,Yes,No,No,Yes,7,2022-11-01,2026-01-01,No,46,,5700,3,38080
72,C-10075,남성,45,No,No,0,0,Yes,신용카드,Yes,No,Yes,Yes,7,2020-11-01,2026-01-01,No,36,,5052,3,0
73,C-10076,여성,29,No,No,0,0,Yes,계좌이체,No,No,No,Yes,26,2024-12-01,2025-07-01,Yes,67,Competitor,2473,3,32320
74,C-10077,여성,62,Yes,No,0,1,No,이체/메일확인,Yes,Yes,Yes,Yes,28,2019-12-01,2026-01-01,No,40,,5152,4,53340
75,C-10078,남성,42,No,No,0,0,Yes,계좌이체,No,No,Yes,Yes,12,2023-12-31,2025-04-01,Yes,99,Attitude,3025,2,51870
76,C-10079,여성,51,No,Yes,2,0,No,신용카드,Yes,No,Yes,Yes,19,2022-11-01,2026-01-01,No,45,,3287,4,0
77,C-10080,남성,39,Yes,No,0,9,Yes,계좌이체,No,No,No,Yes,23,2018-12-31,2026-01-01,No,20,,5943,3,37520
78,C-10081,남성,64,Yes,No,0,1,Yes,계좌이체,No,No,No,No,0,2021-05-01,2026-01-01,No,59,,3093,3,30960
79,C-10082,남성,55,No,No,0,0,No,신용카드,No,Yes,No,No,8,2019-07-01,2026-01-01,No,49,,4889,3,55140
80,C-10083,여성,40,No,No,0,0,Yes,계좌이체,Yes,Yes,Yes,Yes,16,2025-08-01,2025-10-01,Yes,94,Competitor,3529,2,41580
81,C-10084,여성,76,No,No,0,0,No,계좌이체,No,No,Yes,Yes,17,2021-05-01,2026-01-01,No,71,,3253,5,8700
82,C-10085,여성,57,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,6,2024-07-01,2025-07-01,Yes,97,Attitude,5671,3,16270
83,C-10086,남성,71,Yes,No,0,1,Yes,계좌이체,No,Yes,Yes,Yes,17,2019-04-01,2026-01-01,No,63,,4297,5,20790
84,C-10088,여성,24,No,No,0,0,No,신용카드,No,No,No,No,0,2024-11-01,2025-02-01,Yes,95,Price,3398,1,29150
85,C-10089,여성,31,No,No,0,10,No,계좌이체,Yes,Yes,No,Yes,53,2024-11-01,2026-01-01,No,29,,5361,3,5310
86,C-10090,여성,77,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,4,2022-10-01,2026-01-01,No,77,,5990,4,3390
87,C-10091,남성,57,No,No,0,0,Yes,계좌이체,No,No,No,No,0,2022-11-01,2026-01-01,No,68,,5712,5,15030
88,C-10092,여성,73,Yes,No,0,9,Yes,계좌이체,No,No,Yes,Yes,21,2021-10-01,2026-01-01,No,77,,3172,4,22830
89,C-10093,남성,41,No,No,0,0,Yes,계좌이체,No,No,No,Yes,8,2023-04-01,2025-05-01,Yes,82,Competitor,5641,1,39440
90,C-10094,여성,43,No,No,0,0,No,이체/메일확인,No,No,No,Yes,23,2024-12-31,2025-02-01,Yes,78,Competitor,4739,1,44970
91,C-10095,남성,48,Yes,No,0,1,Yes,계좌이체,Yes,No,Yes,Yes,21,2023-06-01,2025-04-01,Yes,87,Attitude,5102,2,30740
92,C-10096,여성,56,No,No,0,0,Yes,계좌이체,Yes,Yes,Yes,Yes,5,2018-12-31,2026-01-01,No,69,,4589,4,54690
93,C-10097,여성,51,No,No,0,0,Yes,계좌이체,No,No,No,No,0,2022-12-31,2026-01-01,No,34,,2511,5,11980
94,C-10098,여성,34,Yes,No,0,8,Yes,계좌이체,No,No,No,Yes,16,2023-06-01,2026-01-01,No,64,,5072,5,8810
95,C-10099,남성,21,No,No,0,2,No,신용카드,No,No,No,No,0,2019-02-01,2026-01-01,No,68,,5747,5,10400
96,C-10100,남성,78,Yes,No,0,7,Yes,계좌이체,Yes,No,Yes,Yes,20,2022-04-01,2026-01-01,No,59,,5655,3,23390
97,C-10101,여성,60,No,No,0,0,No,신용카드,No,No,No,No,0,2024-10-01,2026-01-01,No,74,,5949,3,0
98,C-10102,남성,54,Yes,Yes,1,7,No,계좌이체,No,Yes,No,Yes,13,2021-02-01,2026-01-01,No,76,,3760,3,0
99,C-10103,남성,42,Yes,Yes,3,2,No,신용카드,Yes,Yes,Yes,Yes,20,2019-11-01,2026-01-01,No,43,,5298,4,2030
100,C-10104,남성,22,No,No,0,0,Yes,계좌이체,Yes,Yes,Yes,Yes,48,2019-02-01,2026-01-01,No,59,,4644,4,3280
101,C-10105,남성,71,Yes,No,0,8,Yes,계좌이체,No,No,No,Yes,11,2024-06-01,2026-01-01,No,36,,5711,4,47460
102,C-10106,여성,56,Yes,Yes,2,6,No,신용카드,Yes,No,No,Yes,28,2022-10-01,2026-01-01,No,57,,4331,3,52770
103,C-10107,남성,33,No,No,0,0,No,신용카드,No,No,No,No,0,2024-11-01,2026-01-01,No,59,,4978,3,2030
104,C-10108,여성,32,No,Yes,3,0,No,계좌이체,Yes,No,Yes,Yes,75,2022-12-01,2026-01-01,No,69,,2754,4,0
105,C-10109,남성,80,No,No,0,0,Yes,계좌이체,Yes,Yes,No,Yes,5,2022-07-01,2026-01-01,No,55,,3033,4,43620
106,C-10110,여성,73,Yes,No,0,1,Yes,신용카드,Yes,Yes,Yes,Yes,19,2020-02-29,2025-01-01,Yes,100,Attitude,5067,1,19100
107,C-10111,남성,26,Yes,No,0,1,Yes,계좌이체,No,No,No,No,82,2024-05-01,2025-03-01,Yes,75,Competitor,3573,3,2260
108,C-10112,여성,59,No,No,0,0,Yes,신용카드,No,No,No,Yes,28,2024-04-01,2026-01-01,No,68,,5841,5,10510
109,C-10113,여성,78,Yes,No,0,1,Yes,계좌이체,No,No,No,Yes,17,2025-04-01,2025-10-01,Yes,77,Other,5721,3,32430
110,C-10114,여성,47,Yes,Yes,1,7,No,계좌이체,Yes,No,No,No,16,2019-04-01,2026-01-01,No,49,,5629,3,43960
111,C-10115,여성,68,No,No,0,0,Yes,계좌이체,Yes,No,No,Yes,20,2019-07-01,2026-01-01,No,69,,4861,3,11870
112,C-10116,여성,30,No,No,0,0,No,신용카드,Yes,Yes,Yes,Yes,52,2019-10-01,2025-08-01,Yes,87,Dissatisfaction,4838,1,11530
113,C-10117,남성,62,No,No,0,0,No,계좌이체,No,No,No,No,0,2023-09-01,2025-10-01,Yes,79,Price,3779,3,6330
114,C-10118,여성,52,Yes,Yes,2,1,Yes,신용카드,No,No,No,No,0,2021-02-28,2026-01-01,No,77,,5596,5,27460
115,C-10119,여성,63,Yes,No,0,7,Yes,신용카드,Yes,Yes,Yes,Yes,26,2020-07-01,2026-01-01,No,67,,4488,4,12880
116,C-10120,여성,54,No,No,0,0,No,계좌이체,Yes,No,Yes,Yes,7,2024-09-01,2025-12-01,Yes,84,Competitor,2122,1,25310
117,C-10121,여성,48,Yes,Yes,1,0,No,계좌이체,No,No,No,No,0,2023-12-31,2026-01-01,No,29,,3713,3,9380
118,C-10122,여성,51,No,No,0,0,Yes,계좌이체,No,Yes,No,Yes,22,2023-02-28,2026-01-01,No,73,,2875,3,0
119,C-10123,여성,22,No,No,0,9,No,계좌이체,No,Yes,Yes,Yes,85,2019-02-28,2026-01-01,No,42,,5640,4,0
120,C-10124,남성,52,No,No,0,0,Yes,신용카드,Yes,Yes,No,No,20,2022-07-01,2026-01-01,No,66,,5393,4,27910
121,C-10125,남성,22,No,No,0,1,No,계좌이체,No,Yes,No,Yes,59,2019-02-01,2026-01-01,No,37,,5876,5,31980
122,C-10126,남성,33,Yes,No,0,2,No,신용카드,No,No,No,No,0,2022-07-01,2026-01-01,No,74,,4006,5,11070
123,C-10127,남성,26,Yes,No,0,5,Yes,계좌이체,No,Yes,No,Yes,19,2025-07-01,2025-11-01,Yes,73,Competitor,4939,3,32540
124,C-10128,남성,58,No,No,0,0,Yes,계좌이체,No,No,No,Yes,28,2024-11-01,2025-01-01,Yes,67,Competitor,3273,1,15930
125,C-10129,남성,22,No,Yes,1,0,Yes,계좌이체,No,No,No,No,0,2024-02-29,2026-01-01,No,48,,3044,5,8930
126,C-10130,남성,66,No,No,0,0,No,계좌이체,Yes,No,No,Yes,29,2024-09-01,2026-01-01,No,40,,4033,3,41130
127,C-10131,남성,69,No,No,0,0,Yes,신용카드,Yes,No,No,Yes,19,2020-09-01,2026-01-01,No,67,,4865,3,0
128,C-10132,남성,25,No,No,0,0,No,계좌이체,No,No,No,Yes,85,2025-02-01,2025-07-01,Yes,82,Competitor,2857,2,24860
129,C-10133,남성,30,Yes,Yes,3,1,No,신용카드,No,No,No,No,0,2024-05-01,2026-01-01,No,32,,3899,4,3280
130,C-10134,여성,73,No,No,0,0,Yes,계좌이체,No,No,No,Yes,22,2024-11-01,2026-01-01,No,44,,3805,3,27010
131,C-10135,남성,46,No,No,0,0,No,계좌이체,No,Yes,No,Yes,26,2024-10-01,2026-01-01,No,43,,5828,5,15480
132,C-10136,남성,40,No,No,0,0,No,계좌이체,No,No,Yes,Yes,18,2023-06-01,2026-01-01,No,39,,3949,4,13450
133,C-10137,남성,53,No,No,0,0,No,계좌이체,Yes,Yes,Yes,Yes,13,2018-12-31,2026-01-01,No,32,,4262,5,4180
134,C-10138,남성,76,Yes,No,0,2,No,계좌이체,Yes,No,Yes,Yes,7,2019-10-01,2026-01-01,No,48,,5089,3,0
135,C-10139,남성,38,Yes,No,0,1,Yes,계좌이체,Yes,Yes,Yes,Yes,29,2019-07-01,2026-01-01,No,77,,5500,4,0
136,C-10140,남성,23,No,No,0,0,Yes,계좌이체,No,No,Yes,Yes,27,2025-02-28,2025-04-01,Yes,66,Competitor,3389,3,50400
137,C-10141,여성,24,No,No,0,0,Yes,계좌이체,No,No,No,Yes,48,2019-12-31,2026-01-01,No,49,,5687,3,17290
138,C-10142,여성,43,Yes,Yes,3,3,No,신용카드,Yes,No,No,Yes,22,2020-12-31,2026-01-01,No,21,,5269,3,0
139,C-10143,여성,45,No,No,0,0,Yes,신용카드,No,No,No,Yes,4,2025-05-01,2025-06-01,Yes,86,Other,3967,2,37630
140,C-10144,남성,49,No,No,0,0,Yes,계좌이체,No,No,No,Yes,15,2024-05-01,2025-08-01,Yes,77,Competitor,5264,1,55260
141,C-10145,여성,62,Yes,No,0,4,Yes,계좌이체,Yes,Yes,Yes,Yes,13,2020-11-01,2026-01-01,No,21,,4676,3,39100
142,C-10146,남성,25,Yes,Yes,1,10,No,신용카드,Yes,Yes,Yes,Yes,30,2018-12-31,2026-01-01,No,50,,4193,3,0
143,C-10147,여성,37,No,No,0,0,No,신용카드,Yes,Yes,No,No,21,2021-02-28,2026-01-01,No,49,,3509,4,0
144,C-10148,여성,35,Yes,Yes,1,4,No,계좌이체,Yes,Yes,Yes,Yes,19,2018-12-31,2026-01-01,No,75,,6342,4,0
145,C-10149,남성,37,Yes,Yes,3,2,No,신용카드,No,No,No,No,0,2024-12-01,2026-01-01,No,43,,2004,5,0
146,C-10150,여성,27,No,No,0,0,Yes,계좌이체,No,No,No,Yes,51,2024-12-01,2026-01-01,No,57,,5617,4,0
147,C-10151,여성,69,No,No,0,0,Yes,계좌이체,Yes,Yes,Yes,Yes,21,2019-06-01,2026-01-01,No,80,,5857,4,0
148,C-10152,여성,44,Yes,Yes,1,5,No,계좌이체,No,Yes,Yes,Yes,27,2020-12-31,2026-01-01,No,50,,3246,4,10060
149,C-10153,여성,30,No,No,0,0,Yes,계좌이체,Yes,Yes,Yes,Yes,73,2018-12-31,2026-01-01,No,37,,5234,4,47350
150,C-10154,남성,64,Yes,No,0,6,Yes,신용카드,Yes,Yes,Yes,Yes,24,2020-09-01,2026-01-01,No,64,,4628,4,46670
151,C-10155,여성,44,Yes,Yes,3,1,No,신용카드,No,Yes,No,Yes,28,2019-06-01,2026-01-01,No,51,,5122,5,53000
152,C-10156,여성,58,Yes,No,0,1,Yes,계좌이체,No,No,No,Yes,13,2022-12-31,2025-05-01,Yes,98,Competitor,5201,1,19100
153,C-10157,여성,29,Yes,Yes,1,9,No,계좌이체,No,Yes,No,Yes,51,2022-05-01,2026-01-01,No,74,,5442,3,37630
154,C-10158,여성,80,Yes,No,0,2,Yes,계좌이체,Yes,No,No,Yes,25,2023-02-01,2025-05-01,Yes,99,Attitude,4517,1,7910
155,C-10159,남성,22,No,No,0,0,No,계좌이체,No,Yes,No,Yes,73,2024-10-01,2026-01-01,No,61,,5625,5,35600
156,C-10160,남성,22,No,No,0,0,Yes,계좌이체,No,No,No,Yes,27,2024-12-01,2025-02-01,Yes,73,Competitor,3878,1,45650
157,C-10161,여성,50,No,Yes,2,0,Yes,신용카드,No,No,Yes,Yes,11,2024-04-01,2025-01-01,Yes,65,Competitor,3585,1,40120
158,C-10162,남성,53,Yes,Yes,2,10,Yes,신용카드,Yes,No,Yes,Yes,28,2020-11-01,2026-01-01,No,60,,4022,4,50290
159,C-10163,여성,45,Yes,Yes,2,1,No,계좌이체,No,No,No,No,0,2019-02-01,2026-01-01,No,23,,5043,3,35030
160,C-10164,남성,76,Yes,No,0,2,Yes,계좌이체,No,No,No,Yes,10,2023-02-28,2025-11-01,Yes,69,Attitude,4105,2,53450
161,C-10165,여성,57,Yes,Yes,3,10,No,계좌이체,Yes,No,No,Yes,76,2023-09-01,2026-01-01,No,72,,3337,4,30850
162,C-10166,여성,45,Yes,Yes,3,8,Yes,계좌이체,No,No,Yes,Yes,22,2019-06-01,2026-01-01,No,59,,6383,5,20110
163,C-10167,남성,43,Yes,Yes,1,1,Yes,신용카드,Yes,Yes,Yes,Yes,13,2018-12-31,2026-01-01,No,70,,5879,3,17970
164,C-10168,여성,41,No,No,0,0,No,계좌이체,No,No,No,No,0,2025-05-01,2025-08-01,Yes,83,Attitude,2647,3,27800
165,C-10169,남성,22,No,No,0,1,No,신용카드,No,No,No,No,0,2023-02-01,2026-01-01,No,30,,4031,5,54240
166,C-10170,남성,62,Yes,Yes,2,1,No,계좌이체,Yes,Yes,Yes,Yes,18,2018-12-31,2026-01-01,No,77,,6233,3,32090
167,C-10171,남성,21,No,No,0,9,No,신용카드,Yes,Yes,No,Yes,47,2024-06-01,2026-01-01,No,76,,3332,3,0
168,C-10172,남성,49,Yes,Yes,3,10,Yes,계좌이체,No,No,No,Yes,57,2024-05-01,2026-01-01,No,62,,4854,4,1810
169,C-10173,남성,33,Yes,Yes,2,9,No,계좌이체,No,No,Yes,No,23,2019-07-01,2026-01-01,No,30,,4652,4,0
170,C-10174,남성,30,No,No,0,0,No,신용카드,No,No,No,No,0,2025-07-01,2025-12-01,Yes,66,Attitude,2604,3,38760
171,C-10175,남성,38,No,Yes,1,0,Yes,계좌이체,No,Yes,No,Yes,11,2021-09-01,2025-10-01,Yes,89,Competitor,5340,1,50060
172,C-10176,남성,56,Yes,No,0,2,Yes,계좌이체,No,No,No,No,0,2019-10-01,2026-01-01,No,74,,5151,3,43390
173,C-10177,여성,70,Yes,Yes,1,1,Yes,이체/메일확인,No,No,Yes,Yes,14,2023-12-31,2026-01-01,No,75,,3353,4,0
174,C-10178,남성,54,Yes,Yes,3,5,Yes,신용카드,Yes,Yes,No,Yes,53,2022-10-01,2026-01-01,No,41,,3519,3,40910
175,C-10179,여성,57,No,No,0,0,No,계좌이체,Yes,Yes,No,Yes,20,2022-02-03,2026-01-01,No,34,,3463,4,50620
176,C-10180,여성,40,Yes,Yes,2,7,Yes,계좌이체,No,Yes,Yes,Yes,12,2020-07-01,2026-01-01,No,45,,6275,3,4860
177,C-10181,남성,56,No,No,0,0,Yes,계좌이체,No,No,No,Yes,2,2025-02-28,2025-04-01,Yes,71,Competitor,5962,1,6330
178,C-10182,남성,38,No,No,0,0,Yes,신용카드,No,No,Yes,Yes,5,2024-08-01,2026-01-01,No,42,,3099,4,15820
179,C-10183,남성,61,No,No,0,0,Yes,계좌이체,No,Yes,Yes,No,6,2023-06-01,2026-01-01,No,39,,2051,4,47230
180,C-10184,남성,35,Yes,Yes,2,1,No,신용카드,No,Yes,Yes,Yes,17,2020-09-01,2026-01-01,No,47,,5396,4,0
181,C-10185,여성,61,Yes,Yes,3,8,Yes,계좌이체,Yes,Yes,Yes,Yes,22,2018-12-31,2026-01-01,No,32,,6107,4,0
182,C-10186,남성,50,No,No,0,0,Yes,계좌이체,No,No,No,No,0,2022-05-01,2026-01-01,No,20,,3398,5,16840
183,C-10187,여성,47,Yes,No,0,1,No,계좌이체,No,Yes,No,Yes,6,2024-11-01,2025-07-01,Yes,76,Competitor,2750,2,19100
184,C-10188,남성,35,No,No,0,0,No,이체/메일확인,No,No,No,No,30,2021-08-01,2026-01-01,No,57,,5043,4,42490
185,C-10189,남성,32,No,No,0,0,Yes,신용카드,No,No,No,No,0,2024-08-01,2026-01-01,No,27,,3056,3,23730
186,C-10190,여성,54,No,Yes,1,0,Yes,신용카드,Yes,No,Yes,No,17,2024-02-01,2026-01-01,No,67,,4265,4,0
187,C-10191,남성,61,No,No,0,0,Yes,계좌이체,No,No,Yes,Yes,11,2025-07-01,2025-12-01,Yes,66,Competitor,4192,1,35140
188,C-10192,여성,62,No,No,0,0,No,신용카드,No,No,No,No,0,2023-09-01,2026-01-01,No,60,,4336,5,46900
