순번,생산라인코드,생산라인명,생산일자,품목코드,품목명,작업장코드,충전실온도,실링온도,쿠킹온도,쿠킹스팀압력,실링압력,생산시간
19,P021,냉동밥 외포장#1,2025-02-21,1BA03094,비비고곤드레밥200g,W007,71.5,83.7,119.046,23.564,211.013,79.21
14,P022,냉동밥 외포장#2,2025-02-21,1BA03157,비비고낙지비빔밥200g,W007,71.011,84.611,120.075,23.643,207.49,73.35
14,C087,냉동밥 취반#2,2025-02-22,2BA03200,비비고새우볶음밥210g(알밥)(재),W003,71.684,95.384,130.952,23.712,207.927,80.03
24,C087,냉동밥 취반#2,2025-02-22,2BA03200,비비고새우볶음밥210g(알밥)(재),W003,71.46,96.96,132.577,23.745,210.326,78.77
28,C088,냉동밥 취반#1,2025-02-22,2BA03176,비비고시래기나물밥200g(재),W003,71.314,91.914,127.491,23.718,207.662,72.23
34,C088,냉동밥 취반#1,2025-02-23,2BA03065,CJ햄야채볶음밥(재),W003,71.44,87.24,122.838,23.732,208.148,73.39
40,C088,냉동밥 취반#1,2025-02-23,2BA03003,햄야채볶음밥300g(재),W003,71.912,99.712,135.299,23.725,203.91,76.47
41,C088,냉동밥 취반#1,2025-02-23,2BA03003,햄야채볶음밥300g(재),W003,71.795,109.895,145.538,23.762,207.492,79.88
11,D087,냉동밥 내포장#2,2025-02-22,1BA03200,비비고새우볶음밥210g(알밥),W005,71.552,92.752,128.334,23.721,205.68,79.35
16,D087,냉동밥 내포장#2,2025-02-22,1BA03200,비비고새우볶음밥210g(알밥),W005,71.145,88.845,124.405,23.706,201.549,71.57
30,D088,냉동밥 내포장#1,2025-02-22,1BA03176,비비고시래기나물밥200g,W005,72.44,93.94,129.741,23.868,209.316,73.94
32,D088,냉동밥 내포장#1,2025-02-22,1BA03176,비비고시래기나물밥200g,W005,72.257,89.657,125.415,23.839,204.629,71.74
36,D088,냉동밥 내포장#1,2025-02-23,1BA03074,CJ햄야채볶음밥3kg,W005,71.727,92.127,127.807,23.787,206.094,79.81
37,D088,냉동밥 내포장#1,2025-02-23,1BA03074,CJ햄야채볶음밥3kg,W005,71.27,98.97,134.605,23.756,212.251,73.73
42,D088,냉동밥 내포장#1,2025-02-23,1BA03003,햄야채볶음밥300g,W005,71.482,94.982,130.702,23.814,208.374,74.16
13,G002,볶음 공정,2025-02-22,2BA03200,비비고새우볶음밥210g(알밥)(재),W012,71.673,92.073,127.843,23.847,207.994,78.05
20,G002,볶음 공정,2025-02-22,2BA03200,비비고새우볶음밥210g(알밥)(재),W012,71.53,98.23,133.886,23.771,208.727,73.38
3,P021,냉동밥 외포장#1,2025-02-21,1BA03094,비비고곤드레밥200g,W007,71.981,86.381,122.096,23.81,206.671,75.15
7,P021,냉동밥 외포장#1,2025-02-22,1BA03094,비비고곤드레밥200g,W007,72.03,91.33,126.834,23.669,208.798,78.56
8,P021,냉동밥 외포장#1,2025-02-22,1BA03094,비비고곤드레밥200g,W007,71.426,89.826,125.33,23.67,206.813,73.93
35,P021,냉동밥 외포장#1,2025-02-23,1BA03176,비비고시래기나물밥200g,W007,72.135,93.335,128.887,23.701,207.273,78.39
38,P021,냉동밥 외포장#1,2025-02-23,1BA03074,CJ햄야채볶음밥3kg,W007,71.133,95.633,131.087,23.636,210.237,72.67
39,P021,냉동밥 외포장#1,2025-02-23,1BA03074,CJ햄야채볶음밥3kg,W007,71.709,87.809,123.317,23.672,202.136,79.19
43,P021,냉동밥 외포장#1,2025-02-23,1BA03003,햄야채볶음밥300g,W007,71.288,92.388,127.886,23.665,207.52,76.96
33,P021,냉동밥 외포장#1,2025-02-23,1BA03176,비비고시래기나물밥200g,W007,72.007,91.307,126.796,23.659,206.382,71.74
17,P022,냉동밥 외포장#2,2025-02-22,1BA03200,비비고새우볶음밥210g(알밥),W007,72.03,99.43,134.928,23.666,206.712,71.65
26,P022,냉동밥 외포장#2,2025-02-22,1BA03200,비비고새우볶음밥210g(알밥),W007,71.782,95.082,130.581,23.666,207.481,78.87
13,C088,냉동밥 취반#1,2025-02-23,2BA03006,김치볶음밥300g(재),W003,71.821,91.021,126.673,23.768,212.229,77.48
16,C088,냉동밥 취반#1,2025-02-23,2BA03006,김치볶음밥300g(재),W003,72.125,91.525,127.105,23.72,210.6,72.38
23,C088,냉동밥 취반#1,2025-02-23,2BA03175,매콤낙지볶음밥(노브랜드)(재),W003,72.125,96.625,132.244,23.746,208.394,74.61
25,C088,냉동밥 취반#1,2025-02-24,2BA03094,비비고곤드레밥200g(재),W003,72.121,92.521,128.169,23.765,206.623,71.97
28,C088,냉동밥 취반#1,2025-02-24,2BA03094,비비고곤드레밥200g(재),W003,72.318,91.518,127.18,23.775,202.712,78.61
10,D087,냉동밥 내포장#2,2025-02-23,1BA03200,비비고새우볶음밥210g(알밥),W005,72.38,91.08,126.781,23.801,208.092,75.69
8,D088,냉동밥 내포장#1,2025-02-23,1BA03006,김치볶음밥300g,W005,71.851,89.051,124.732,23.787,207.803,73.41
12,D088,냉동밥 내포장#1,2025-02-23,1BA03006,김치볶음밥300g,W005,71.757,93.057,128.778,23.814,211.268,80.1
14,D088,냉동밥 내포장#1,2025-02-23,1BA03159,비비고깍두기볶음밥200g,W005,72.136,92.636,128.277,23.761,205.322,72.53
18,D088,냉동밥 내포장#1,2025-02-23,1BA03159,비비고깍두기볶음밥200g,W005,71.489,89.689,125.351,23.774,215.539,78.37
20,D088,냉동밥 내포장#1,2025-02-23,1BA03175,매콤낙지볶음밥(노브랜드),W005,72.02,86.32,122.08,23.84,207.085,79.81
22,D088,냉동밥 내포장#1,2025-02-23,1BA03175,매콤낙지볶음밥(노브랜드),W005,72.283,91.883,127.587,23.803,205.834,74.63
26,D088,냉동밥 내포장#1,2025-02-24,1BA03094,비비고곤드레밥200g,W005,71.648,83.848,119.528,23.787,208.743,76.25
29,D088,냉동밥 내포장#1,2025-02-24,1BA03094,비비고곤드레밥200g,W005,72.04,98.54,134.203,23.776,206.994,77.43
1,P021,냉동밥 외포장#1,2025-02-23,1BA03176,비비고시래기나물밥200g,W007,71.765,89.665,125.2,23.69,208.109,71.22
2,P021,냉동밥 외포장#1,2025-02-23,1BA03176,비비고시래기나물밥200g,W007,71.163,89.863,125.417,23.702,210.248,71.54
3,P021,냉동밥 외포장#1,2025-02-23,1BA03176,비비고시래기나물밥200g,W007,71.225,90.425,125.965,23.694,203.938,77.21
4,P021,냉동밥 외포장#1,2025-02-23,1BA03176,비비고시래기나물밥200g,W007,71.77,89.17,124.759,23.726,210.55,72.39
5,P021,냉동밥 외포장#1,2025-02-23,1BA03176,비비고시래기나물밥200g,W007,71.459,92.059,127.697,23.759,212.13,75.21
6,P021,냉동밥 외포장#1,2025-02-23,1BA03065,CJ햄야채볶음밥*5ea,W007,71.746,88.746,124.398,23.768,208.126,72.2
7,P021,냉동밥 외포장#1,2025-02-23,1BA03006,김치볶음밥300g,W007,72.147,102.047,137.652,23.737,203.425,74.61
15,P021,냉동밥 외포장#1,2025-02-23,1BA03159,비비고깍두기볶음밥200g,W007,72.382,93.682,129.361,23.786,205.323,79.53
21,P021,냉동밥 외포장#1,2025-02-23,1BA03159,비비고깍두기볶음밥200g,W007,71.555,99.255,134.865,23.74,215.503,79.22
27,P021,냉동밥 외포장#1,2025-02-24,1BA03175,매콤낙지볶음밥(노브랜드),W007,72.266,94.366,130.043,23.785,211.26,76.27
30,P021,냉동밥 외포장#1,2025-02-24,1BA03094,비비고곤드레밥200g,W007,71.54,91.84,127.527,23.792,208.291,73.5
24,P021,냉동밥 외포장#1,2025-02-24,1BA03175,매콤낙지볶음밥(노브랜드),W007,71.382,87.482,123.12,23.759,206.438,76.25
10,C087,냉동밥 취반#2,2025-02-24,2BA03158,비비고불고기비빔밥200g(재),W003,71.691,91.491,127.146,23.77,205.677,79.91
9,C088,냉동밥 취반#1,2025-02-24,2BA03011,치킨데리야끼볶음밥300g(재),W003,71.78,93.78,129.496,23.81,211.031,78.24
22,C088,냉동밥 취반#1,2025-02-24,2BA03009,소불고기볶음밥300g(재),W003,72.39,82.59,118.333,23.828,208.304,75.93
18,C088,냉동밥 취반#1,2025-02-24,2BA03093,비비고취나물밥200g(재),W003,72.142,89.842,125.581,23.826,206.702,73.19
23,C088,냉동밥 취반#1,2025-02-25,2BA03064,CJ해물볶음밥(재),W003,72.242,102.842,138.604,23.841,207.359,72.17
2,D087,냉동밥 내포장#2,2025-02-24,1BA03158,비비고불고기비빔밥200g,W005,71.866,87.866,123.271,23.603,206.249,76.89
5,D088,냉동밥 내포장#1,2025-02-24,1BA03011,치킨데리야끼볶음밥300g,W005,71.112,109.912,145.21,23.532,204.923,77.79
8,D088,냉동밥 내포장#1,2025-02-24,1BA03011,치킨데리야끼볶음밥300g,W005,71.035,108.335,143.659,23.55,206.136,74.96
11,D088,냉동밥 내포장#1,2025-02-24,1BA03009,소불고기볶음밥300g,W005,71.342,106.742,142.042,23.533,209.082,78.75
13,D088,냉동밥 내포장#1,2025-02-24,1BA03009,소불고기볶음밥300g,W005,70.479,92.979,128.216,23.492,207.309,75.16
20,D088,냉동밥 내포장#1,2025-02-24,1BA03093,비비고취나물밥200g,W005,71.308,86.008,121.369,23.574,198.236,71.81
24,D088,냉동밥 내포장#1,2025-02-25,1BA03070,CJ해물볶음밥/20개입,W005,71.161,104.561,139.905,23.562,204.559,75.82
26,D088,냉동밥 내포장#1,2025-02-25,1BA03070,CJ해물볶음밥/20개입,W005,71.127,109.927,145.249,23.548,203.633,76.96
28,D088,냉동밥 내포장#1,2025-02-25,1BA03010,해물볶음밥300g,W005,71.074,95.274,130.467,23.462,207.004,72.86
1,G002,볶음 공정,2025-02-24,2BA03158,비비고불고기비빔밥200g(재),W012,71.378,92.578,127.825,23.498,206.23,71.59
6,G002,볶음 공정,2025-02-24,2BA03158,비비고불고기비빔밥200g(재),W012,70.917,95.717,130.914,23.465,208.45,71.11
7,P021,냉동밥 외포장#1,2025-02-24,1BA03011,치킨데리야끼볶음밥300g,W007,71.132,93.632,128.909,23.518,207.79,73.29
12,P021,냉동밥 외포장#1,2025-02-24,1BA03011,치킨데리야끼볶음밥300g,W007,71.071,84.671,119.953,23.521,209.076,72.16
15,P021,냉동밥 외포장#1,2025-02-24,1BA03009,소불고기볶음밥300g,W007,71.01,89.31,124.731,23.614,210.287,71.71
19,P021,냉동밥 외포장#1,2025-02-24,1BA03009,소불고기볶음밥300g,W007,71.309,98.909,134.26,23.567,208.545,70.91
25,P021,냉동밥 외포장#1,2025-02-25,1BA03093,비비고취나물밥200g,W007,70.934,107.234,142.673,23.626,212.332,72.8
27,P021,냉동밥 외포장#1,2025-02-25,1BA03070,CJ해물볶음밥/20개입,W007,71.353,86.753,122.194,23.627,207.166,72.29
29,P021,냉동밥 외포장#1,2025-02-25,1BA03010,해물볶음밥300g,W007,71.273,104.273,139.768,23.663,204.821,76.27
21,P021,냉동밥 외포장#1,2025-02-25,1BA03093,비비고취나물밥200g,W007,71.505,108.205,143.66,23.637,206.763,76.86
16,P022,냉동밥 외포장#2,2025-02-24,1BA03158,비비고불고기비빔밥200g,W007,71.005,93.805,129.255,23.634,208.521,77.35
2,C088,냉동밥 취반#1,2025-02-25,2BA03162,야채현미밥H1kg(재),W003,71.659,90.559,126.231,23.782,207.186,73.58
5,D087,냉동밥 내포장#2,2025-02-25,1BA03201,비비고닭가슴살볶음밥210g(알밥),W005,71.967,101.367,136.947,23.72,208.881,78.71
1,D088,냉동밥 내포장#1,2025-02-25,1BA03162,야채현미밥H1kg,W005,71.246,109.746,145.317,23.714,208.803,80.01
3,D088,냉동밥 내포장#1,2025-02-25,1BA03162,야채현미밥H1kg,W005,71.22,91.52,127.097,23.718,208.769,78.97
11,D088,냉동밥 내포장#1,2025-02-25,1BA03162,야채현미밥H1kg,W005,71.824,85.124,120.604,23.653,209.65,71.05
4,P021,냉동밥 외포장#1,2025-02-25,1BA03162,야채현미밥H1kg,W007,71.51,85.71,121.219,23.672,207.333,77.32
9,P021,냉동밥 외포장#1,2025-02-25,1BA03162,야채현미밥H1kg,W007,71.679,105.879,141.386,23.672,206.517,74.79
14,P022,냉동밥 외포장#2,2025-02-25,1BA03201,비비고닭가슴살볶음밥210g(알밥),W007,71.161,93.961,129.426,23.643,203.575,71.14
4,P022,냉동밥 외포장#2,2025-02-25,1BA03201,비비고닭가슴살볶음밥210g(알밥),W007,73.168,109.268,145.499,24.154,207.279,80.08
2,C087,냉동밥 취반#2,2025-02-28,2BA03158,비비고불고기비빔밥200g(재),W003,72.75,109.55,145.545,23.997,208.901,72.63
3,C087,냉동밥 취반#2,2025-02-28,2BA03158,비비고불고기비빔밥200g(재),W003,72.261,108.061,144.041,23.987,209.335,72.78
20,C087,냉동밥 취반#2,2025-02-28,2BA03158,비비고불고기비빔밥200g(재),W003,72.096,100.796,136.793,23.998,213.048,73.11
9,C088,냉동밥 취반#1,2025-02-28,2BA03094,비비고곤드레밥200g(재),W003,71.907,131.807,167.708,23.934,212.749,71.84
13,C088,냉동밥 취반#1,2025-02-28,2BA03094,비비고곤드레밥200g(재),W003,72.599,85.899,121.784,23.923,213.463,77.29
14,C088,냉동밥 취반#1,2025-02-28,2BA03066,CJ새우볶음밥(재),W003,71.918,90.918,126.846,23.952,210.55,72.94
21,C088,냉동밥 취반#1,2025-03-01,2BA03174,통새우볶음밥(노브랜드)(재),W003,72.766,89.766,125.719,23.969,208.301,80.18
6,D087,냉동밥 내포장#2,2025-02-28,1BA03158,비비고불고기비빔밥200g,W005,72.436,96.336,132.266,23.953,202.78,78.07
18,D087,냉동밥 내포장#2,2025-02-28,1BA03158,비비고불고기비빔밥200g,W005,72.58,103.18,139.132,23.968,211.057,73.47
8,D088,냉동밥 내포장#1,2025-02-28,1BA03094,비비고곤드레밥200g,W005,72.308,100.608,136.562,23.969,203.272,71.98
10,D088,냉동밥 내포장#1,2025-02-28,1BA03094,비비고곤드레밥200g,W005,72.206,99.406,135.423,24.011,210.689,79.3
12,D088,냉동밥 내포장#1,2025-02-28,1BA03072,CJ새우볶음밥/20개입,W005,72.404,100.904,136.911,24.005,212.808,78.17
16,D088,냉동밥 내포장#1,2025-02-28,1BA03072,CJ새우볶음밥/20개입,W005,72.799,92.899,128.902,24.002,208.68,77.94
22,D088,냉동밥 내포장#1,2025-03-01,1BA03174,통새우볶음밥(노브랜드),W005,72.346,102.946,138.939,23.995,209.572,79.43
24,D088,냉동밥 내포장#1,2025-03-01,1BA03174,통새우볶음밥(노브랜드),W005,72.654,95.954,132.052,24.065,210.243,72.84
4,G002,볶음 공정,2025-02-28,2BA03158,비비고불고기비빔밥200g(재),W012,72.261,96.761,132.83,24.046,209.96,72.66
11,G002,볶음 공정,2025-02-28,2BA03094,비비고곤드레밥200g(재),W012,72.267,106.367,142.45,24.055,208.994,77.69
1,P021,냉동밥 외포장#1,2025-02-28,1BA03094,비비고곤드레밥200g,W007,72.886,97.986,134.069,24.055,212.136,79.13
27,P021,냉동밥 외포장#1,2025-02-28,1BA03094,비비고곤드레밥200g,W007,72.925,103.025,139.415,24.26,214.707,80.08
17,P021,냉동밥 외포장#1,2025-02-28,1BA03072,CJ새우볶음밥/20개입,W007,73.172,105.372,141.657,24.19,211.471,80.42
15,P021,냉동밥 외포장#1,2025-02-28,1BA03094,비비고곤드레밥200g,W007,71.965,115.665,151.381,23.81,215.48,74.36
19,P022,냉동밥 외포장#2,2025-02-28,1BA03158,비비고불고기비빔밥200g,W007,73.279,108.879,145.14,24.173,218.477,75.04
26,P022,냉동밥 외포장#2,2025-03-01,1BA03158,비비고불고기비빔밥200g,W007,73.244,105.344,141.722,24.252,211.205,78.83
2,C087,냉동밥 취반#2,2025-03-01,2BA03157,비비고낙지비빔밥200g(재),W003,73.066,103.866,140.131,24.177,213.682,76.17
9,C087,냉동밥 취반#2,2025-03-01,2BA03157,비비고낙지비빔밥200g(재),W003,72.93,101.13,137.427,24.198,213.747,75.5
19,C087,냉동밥 취반#2,2025-03-01,2BA03157,비비고낙지비빔밥200g(재),W003,73.007,101.807,137.935,24.086,214.113,75.84
1,C088,냉동밥 취반#1,2025-03-01,2BA03094,비비고곤드레밥200g(재),W003,71.385,87.685,123.305,23.746,213.293,72.02
4,C088,냉동밥 취반#1,2025-03-01,2BA03094,비비고곤드레밥200g(재),W003,73.093,106.393,142.465,24.048,212.471,78.74
13,C088,냉동밥 취반#1,2025-03-01,2BA03094,비비고곤드레밥200g(재),W003,73.407,103.307,139.588,24.187,206.74,78.45
14,C088,냉동밥 취반#1,2025-03-01,2BA03094,비비고곤드레밥200g(재),W003,72.013,101.213,137.004,23.861,210.512,80.13
32,C088,냉동밥 취반#1,2025-03-01,2BA03074,CJ햄야채볶음밥3kg(재),W003,73.151,98.051,134.265,24.143,210.47,78.94
33,C088,냉동밥 취반#1,2025-03-01,2BA03065,CJ햄야채볶음밥(재),W003,72.594,,,24.096,215.522,79.34
10,D087,냉동밥 내포장#2,2025-03-01,1BA03157,비비고낙지비빔밥200g,W005,72.633,96.933,133.027,24.062,210.415,79.06
15,D087,냉동밥 내포장#2,2025-03-01,1BA03157,비비고낙지비빔밥200g,W005,72.589,99.189,135.099,23.94,206.335,72.38
29,D087,냉동밥 내포장#2,2025-03-02,1BA03157,비비고낙지비빔밥200g,W005,71.645,92.945,128.622,23.785,211.743,72.31
30,D087,냉동밥 내포장#2,2025-03-02,1BA03157,비비고낙지비빔밥200g,W005,71.257,96.057,131.628,23.714,208.578,77.55
31,D087,냉동밥 내포장#2,2025-03-02,1BA03157,비비고낙지비빔밥200g,W005,71.467,97.667,133.247,23.72,205.79,74.5
3,D088,냉동밥 내포장#1,2025-03-01,1BA03094,비비고곤드레밥200g,W005,71.527,102.227,137.868,23.76,208.52,73.17
5,D088,냉동밥 내포장#1,2025-03-01,1BA03094,비비고곤드레밥200g,W005,72.145,97.045,132.903,23.905,209.894,77.35
12,D088,냉동밥 내포장#1,2025-03-01,1BA03074,CJ햄야채볶음밥3kg,W005,71.695,88.395,124.003,23.739,208.529,73.02
16,D088,냉동밥 내포장#1,2025-03-01,1BA03074,CJ햄야채볶음밥3kg,W005,71.468,96.668,132.187,23.679,204.593,72.63
20,D088,냉동밥 내포장#1,2025-03-01,1BA03065,CJ햄야채볶음밥*5ea,W005,71.643,95.443,131.212,23.846,213.691,75.05
21,D088,냉동밥 내포장#1,2025-03-01,1BA03071,CJ햄야채볶음밥/20개입,W005,71.373,84.973,120.502,23.686,208.983,77.49
24,D088,냉동밥 내포장#1,2025-03-01,1BA03065,CJ햄야채볶음밥*5ea,W005,72.476,87.176,122.937,23.841,209.331,76.66
11,P021,냉동밥 외포장#1,2025-03-01,1BA03094,비비고곤드레밥200g,W007,72.873,104.473,140.412,23.959,209.952,78.65
17,P021,냉동밥 외포장#1,2025-03-01,1BA03074,CJ햄야채볶음밥3kg,W007,72.195,94.995,130.923,23.952,208.818,74.67
22,P021,냉동밥 외포장#1,2025-03-01,1BA03074,CJ햄야채볶음밥3kg,W007,72.655,95.355,131.339,23.99,214.644,78.7
23,P021,냉동밥 외포장#1,2025-03-01,1BA03074,CJ햄야채볶음밥3kg,W007,72.605,95.705,131.759,24.036,209.295,73.02
26,P021,냉동밥 외포장#1,2025-03-01,1BA03071,CJ햄야채볶음밥/20개입,W007,72.317,96.517,132.41,23.929,212.458,78.02
13,C088,냉동밥 취반#1,2025-03-02,2BA03069,CJ낙지볶음밥(재),W003,72.174,86.174,122.017,23.896,209.646,75.83
14,C088,냉동밥 취반#1,2025-03-02,2BA03069,CJ낙지볶음밥(재),W003,73.251,96.651,132.778,24.084,211.554,75.22
17,C088,냉동밥 취반#1,2025-03-02,2BA03067,후레시스김치볶음밥(재),W003,72.93,93.83,129.984,24.103,211.343,73.34
20,C088,냉동밥 취반#1,2025-03-03,2BA03159,비비고깍두기볶음밥200g(재),W003,72.741,99.641,135.603,23.975,206.14,74.67
6,D087,냉동밥 내포장#2,2025-03-03,1BA03157,비비고낙지비빔밥200g,W005,72.207,103.407,139.338,23.954,209.73,75.15
9,D088,냉동밥 내포장#1,2025-03-02,1BA03073,CJ낙지볶음밥/20개입,W005,72.044,92.244,128.038,23.863,213.307,72.28
10,D088,냉동밥 내포장#1,2025-03-02,1BA03073,CJ낙지볶음밥/20개입,W005,72.994,104.694,141.014,24.213,213.343,76.69
15,D088,냉동밥 내포장#1,2025-03-02,1BA03067,후레시스김치볶음밥,W005,72.06,88.26,124.273,24.009,213.284,73.43
18,D088,냉동밥 내포장#1,2025-03-02,1BA03067,후레시스김치볶음밥,W005,71.838,86.838,122.726,23.925,208.687,74.59
22,D088,냉동밥 내포장#1,2025-03-03,1BA03159,비비고깍두기볶음밥200g,W005,73.157,98.057,134.282,24.15,211.838,74.86
23,D088,냉동밥 내포장#1,2025-03-03,1BA03159,비비고깍두기볶음밥200g,W005,73.274,96.974,133.364,24.26,212.986,73.55
11,P021,냉동밥 외포장#1,2025-03-02,1BA03073,CJ낙지볶음밥/20개입,W007,73.245,103.945,140.286,24.227,209.411,79.76
16,P021,냉동밥 외포장#1,2025-03-02,1BA03073,CJ낙지볶음밥/20개입,W007,71.912,103.812,139.492,23.787,208.469,78.32
19,P021,냉동밥 외포장#1,2025-03-02,1BA03067,후레시스김치볶음밥,W007,73.242,90.142,126.473,24.221,216.494,72.83
21,P021,냉동밥 외포장#1,2025-03-03,1BA03067,후레시스김치볶음밥,W007,72.497,99.397,135.36,23.976,212.745,75.26
24,P021,냉동밥 외포장#1,2025-03-03,1BA03159,비비고깍두기볶음밥200g,W007,72.372,95.672,131.8,24.085,215.385,75.55
1,C087,냉동밥 취반#2,2025-03-03,2BA03157,비비고낙지비빔밥200g(재),W003,72.55,104.55,140.617,24.044,208.191,74.02
35,C087,냉동밥 취반#2,2025-03-03,2BA03174,통새우볶음밥(노브랜드)(재),W003,72.318,103.118,139.216,24.065,212.1,72.64
2,C088,냉동밥 취반#1,2025-03-03,2BA03202,강원나물밥200g(알밥)(재),W003,72.09,103.79,139.421,23.754,208.964,75.93
24,C088,냉동밥 취반#1,2025-03-03,2BA03047,시아스야채볶음밥3kg(재),W003,69.566,80.666,115.224,23.039,196.889,
23,D087,냉동밥 내포장#2,2025-03-03,1BA03174,통새우볶음밥(노브랜드),W005,71.329,90.029,125.459,23.62,210.423,74.29
3,D088,냉동밥 내포장#1,2025-03-03,1BA03202,강원나물밥200g(알밥),W005,71.625,84.425,120.188,23.842,206.299,75.2
8,D088,냉동밥 내포장#1,2025-03-03,1BA03047,시아스야채볶음밥3kg,W005,71.698,89.698,125.283,23.723,207.988,71.22
19,D088,냉동밥 내포장#1,2025-03-03,1BA03202,강원나물밥200g(알밥),W005,72.678,91.678,127.539,23.908,210.216,77.72
21,D088,냉동밥 내포장#1,2025-03-03,1BA03202,강원나물밥200g(알밥),W005,71.671,93.071,128.717,23.764,209.93,73.07
25,D088,냉동밥 내포장#1,2025-03-03,1BA03202,강원나물밥200g(알밥),W005,72.001,89.401,125.142,23.827,206.727,74.99
