No_Die,lithography_Chamber,Process 2-1,Line_CD,UV_type,Wavelength,Resolution,Energy_Exposure,Lot_Num,Wafer_Num,Datetime
NOLSM4521720,3,photo_li,29.962,G,436,534.287,109.531,17,20,05-03-2026
NOLSM4531721,1,photo_li,28.301,H,405,547.91,108.014,17,21,05-03-2026
NOLSM4541722,2,photo_li,41.796,I,365,496.304,108.198,17,22,05-03-2026
NOLSM4551723,3,photo_li,48.865,G,436,495.075,107.279,17,23,05-03-2026
NOLSM4561724,1,photo_li,56.005,I,365,534.682,107.168,17,24,05-03-2026
NOLSM4571725,3,photo_li,30.795,H,405,515.659,107.437,17,25,05-03-2026
NOLSM4581726,1,photo_li,31.074,I,365,529.606,108.445,17,26,05-03-2026
NOLSM4591727,2,photo_li,37.972,G,436,486.392,108.301,17,27,05-03-2026
NOLSM460181460,1,photo_li,25.657,G,436,542.767,106.535,18,28,06-03-2026
NOLSM461182461,1,photo_li,22.358,G,436,559.309,107.851,18,29,06-03-2026
NOLSM462183462,1,photo_li,19.378,G,436,554.537,107.31,18,30,06-03-2026
NOLSM463184463,1,photo_li,29.366,G,436,557.108,107.699,18,31,06-03-2026
NOLSM464185464,1,photo_li,13.721,G,436,553.497,107.293,18,32,06-03-2026
NOLSM465186465,1,photo_li,19.727,G,436,552.958,107.638,18,33,06-03-2026
NOLSM466187466,1,photo_li,29.578,G,436,550.899,108.359,18,34,06-03-2026
NOLSM467188467,1,photo_li,17.244,G,436,548.49,107.84,18,35,06-03-2026
NOLSM468189468,1,photo_li,17.474,G,436,547.287,107.46,18,36,06-03-2026
NOLSM4691810469,2,photo_li,23.018,G,436,548.646,108.197,18,37,06-03-2026
NOLSM4701811470,2,photo_li,24.328,G,436,555.085,108.275,18,38,06-03-2026
NOLSM4711812471,2,photo_li,31.553,G,436,552.418,108.825,18,39,06-03-2026
NOLSM4721813472,2,photo_li,36.742,G,436,556.431,108.883,18,40,06-03-2026
NOLSM4731814473,2,photo_li,29.197,G,436,551.224,108.837,18,41,06-03-2026
NOLSM4741815474,2,photo_li,36.652,G,436,556.698,109.502,18,42,06-03-2026
NOLSM4751816475,2,photo_li,38.0,G,436,555.801,108.991,18,43,06-03-2026
NOLSM4761817476,2,photo_li,31.46,G,436,550.755,108.858,18,44,06-03-2026
NOLSM4771818477,2,photo_li,32.782,G,436,546.804,108.846,18,45,06-03-2026
NOLSM4781819478,3,photo_li,29.906,G,436,550.457,108.913,18,46,06-03-2026
NOLSM4791820479,3,photo_li,35.244,G,436,552.697,109.409,18,47,06-03-2026
NOLSM4801821480,3,photo_li,39.437,G,436,546.286,109.337,18,48,06-03-2026
NOLSM4811822481,3,photo_li,42.086,G,436,543.498,110.06,18,49,06-03-2026
NOLSM4821823482,3,photo_li,31.482,G,436,544.819,109.031,18,50,06-03-2026
NOLSM4831824483,3,photo_li,43.236,G,436,559.819,109.34,18,51,06-03-2026
NOLSM4841825484,3,photo_li,35.818,G,436,560.269,109.205,18,52,06-03-2026
NOLSM4851826485,3,photo_li,34.683,G,436,552.795,109.331,18,53,06-03-2026
NOLSM4861827486,3,photo_li,45.552,G,436,552.984,109.671,18,54,06-03-2026
NOLSM460181,3,photo_li,25.657,G,436,542.767,106.535,18,1,06-03-2026
NOLSM461182,1,photo_li,22.358,G,436,559.309,107.851,18,2,06-03-2026
NOLSM462183,2,photo_li,19.378,G,436,554.537,107.31,18,3,06-03-2026
NOLSM463184,3,photo_li,29.366,G,436,557.108,107.699,18,4,06-03-2026
NOLSM464185,1,photo_li,13.721,G,436,553.497,107.293,18,5,06-03-2026
NOLSM465186,2,photo_li,19.727,G,436,552.958,107.638,18,6,06-03-2026
NOLSM466187,3,photo_li,29.578,G,436,550.899,108.359,18,7,06-03-2026
NOLSM467188,1,photo_li,17.244,G,436,548.49,107.84,18,8,06-03-2026
NOLSM468189,2,photo_li,17.474,G,436,547.287,107.46,18,9,06-03-2026
NOLSM4691810,1,photo_li,23.018,G,436,548.646,108.197,18,10,06-03-2026
NOLSM4701811,2,photo_li,24.328,G,436,555.085,108.275,18,11,06-03-2026
NOLSM4711812,3,photo_li,31.553,G,436,552.418,108.825,18,12,06-03-2026
NOLSM4721813,1,photo_li,36.742,G,436,556.431,108.883,18,13,06-03-2026
NOLSM4731814,2,photo_li,29.197,G,436,551.224,108.837,18,14,06-03-2026
NOLSM4741815,3,photo_li,36.652,G,436,556.698,109.502,18,15,06-03-2026
NOLSM4751816,1,photo_li,38.0,G,436,555.801,108.991,18,16,06-03-2026
NOLSM4761817,3,photo_li,31.46,G,436,550.755,108.858,18,17,06-03-2026
NOLSM4771818,1,photo_li,32.782,G,436,546.804,108.846,18,18,06-03-2026
NOLSM4781819,2,photo_li,29.906,G,436,550.457,108.913,18,19,06-03-2026
NOLSM4791820,3,photo_li,35.244,G,436,552.697,109.409,18,20,06-03-2026
NOLSM4801821,1,photo_li,39.437,G,436,546.286,109.337,18,21,06-03-2026
NOLSM4811822,2,photo_li,42.086,G,436,543.498,110.06,18,22,06-03-2026
NOLSM4821823,3,photo_li,31.482,G,436,544.819,109.031,18,23,06-03-2026
