기준일자,User_ID,기관번호,연체등록일자,연체금액,기관,연체분류,연체사항,세부사항
202507,X0214807498644962070,X3032578545057756902,202502,270000,은행,신용도판단,대출연체,원금이자연체
202507,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202507,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202508,X0214807498644962070,X3032578545057756902,202502,270000,은행,신용도판단,대출연체,원금이자연체
202508,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202508,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202509,X0214807498644962070,X3032578545057756902,202502,270000,은행,신용도판단,대출연체,원금이자연체
202509,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202509,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202510,X0214807498644962070,X3032578545057756902,202502,270000,은행,신용도판단,대출연체,원금이자연체
202510,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202510,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202511,X0214807498644962070,X3032578545057756902,202502,270000,은행,신용도판단,대출연체,원금이자연체
202511,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202511,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202512,X0214807498644962070,X3032578545057756902,202502,270000,은행,신용도판단,대출연체,원금이자연체
202512,X0214807498644962070,Y4768932821498392758,202406,12000,기타,신용도판단,지금보증대지급,신용보증대지급
202512,X0214807498644962070,Y9036878020951295900,202104,10000,기타,신용도판단,대출연체,원금이자연체
202508,X0298465323177514236,Y8095266831724228828,202508,880,신용카드사,신용도판단,대출연체,신용카드대금연체
202509,X0298465323177514236,Y8095266831724228828,202508,880,신용카드사,신용도판단,대출연체,신용카드대금연체
202510,X0298465323177514236,Y8095266831724228828,202508,880,신용카드사,신용도판단,대출연체,신용카드대금연체
202511,X0298465323177514236,Y8095266831724228828,202508,880,신용카드사,신용도판단,대출연체,신용카드대금연체
202512,X0298465323177514236,Y8095266831724228828,202508,880,신용카드사,신용도판단,대출연체,신용카드대금연체
202312,X0301386901660578111,Y6347148541722377879,201802,8000,은행,신용도판단,대출연체,원금이자연체
202401,X0301386901660578111,Y6347148541722377879,201802,8000,은행,신용도판단,대출연체,원금이자연체
202402,X0301386901660578111,Y6347148541722377879,201802,8000,은행,신용도판단,대출연체,원금이자연체
202403,X0301386901660578111,Y6347148541722377879,201802,8000,은행,신용도판단,대출연체,원금이자연체
202404,X0301386901660578111,Y6347148541722377879,201802,8000,은행,신용도판단,대출연체,원금이자연체
202405,X0301386901660578111,Y6347148541722377879,201802,8000,은행,신용도판단,대출연체,원금이자연체
202406,X0301386901660578111,Y6347148541722377879,201802,8000,은행,신용도판단,대출연체,원금이자연체
202407,X0301386901660578111,Y6347148541722377879,201802,8000,은행,신용도판단,대출연체,원금이자연체
202408,X0301386901660578111,Y6347148541722377879,201802,8000,은행,신용도판단,대출연체,원금이자연체
202409,X0301386901660578111,Y6347148541722377879,201802,8000,은행,신용도판단,대출연체,원금이자연체
202410,X0301386901660578111,Y6347148541722377879,201802,8000,은행,신용도판단,대출연체,원금이자연체
202411,X0301386901660578111,Y6347148541722377879,201802,8000,은행,신용도판단,대출연체,원금이자연체
202312,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202401,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202402,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202403,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202404,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202405,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202406,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202407,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202408,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202409,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202410,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202411,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202412,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202501,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202502,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202503,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202504,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202505,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202506,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202507,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202508,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202509,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202510,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202511,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202512,X0342060941186493169,X0945035270612736741,201511,95000,은행,신용도판단,부도,부도
202312,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202312,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202401,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202401,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202402,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202402,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202403,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202403,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202404,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202404,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202405,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202405,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202406,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202406,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202407,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202407,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202408,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202408,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202409,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202409,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202410,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202410,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202411,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202411,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202412,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202412,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202501,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202501,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202502,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202502,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202503,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202503,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202504,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202504,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202505,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202505,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202506,X0392110483605601454,X4067398789839021726,202208,9500,은행,신용도판단,대출연체,신용카드대금연체
202506,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202507,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202508,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202508,X0392110483605601454,Y2517019704745725582,202508,910,신용카드사,신용도판단,대출연체,신용카드대금연체
202509,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202510,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202511,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202511,X0392110483605601454,Y2517019704745725582,202511,4500,신용카드사,신용도판단,대출연체,카드대출연체
202512,X0392110483605601454,X4893627949415427320,202308,4300,신용카드사,신용도판단,대출연체,신용카드대금연체
202512,X0392110483605601454,Y2517019704745725582,202511,4500,신용카드사,신용도판단,대출연체,카드대출연체
202312,X0455965488226319910,X8850496104700440151,202309,80000,은행,신용도판단,대출연체,원금이자연체
202401,X0455965488226319910,X8850496104700440151,202309,80000,은행,신용도판단,대출연체,원금이자연체
202402,X0455965488226319910,X8850496104700440151,202309,80000,은행,신용도판단,대출연체,원금이자연체
202403,X0455965488226319910,X8850496104700440151,202309,80000,은행,신용도판단,대출연체,원금이자연체
202404,X0455965488226319910,X8850496104700440151,202309,80000,은행,신용도판단,대출연체,원금이자연체
202412,X0455965488226319910,Y1149843444719871169,202412,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202501,X0455965488226319910,Y1149843444719871169,202412,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202502,X0455965488226319910,Y1149843444719871169,202412,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202503,X0455965488226319910,Y1149843444719871169,202412,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202504,X0455965488226319910,Y1149843444719871169,202412,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202505,X0455965488226319910,Y1149843444719871169,202412,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202506,X0455965488226319910,Y1149843444719871169,202412,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202507,X0455965488226319910,Y1149843444719871169,202412,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202508,X0455965488226319910,X8831649098422122603,202508,8500,신용카드사,신용도판단,대출연체,카드대출연체
202508,X0455965488226319910,Y1149843444719871169,202412,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202509,X0455965488226319910,X8831649098422122603,202508,8500,신용카드사,신용도판단,대출연체,카드대출연체
202509,X0455965488226319910,Y1149843444719871169,202412,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202510,X0455965488226319910,X8831649098422122603,202508,8500,신용카드사,신용도판단,대출연체,카드대출연체
202510,X0455965488226319910,Y1149843444719871169,202412,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202510,X0455965488226319910,Y1149843444719871169,202510,6000,신용카드사,신용도판단,대출연체,신용카드대금연체
202511,X0455965488226319910,X8831649098422122603,202508,8500,신용카드사,신용도판단,대출연체,카드대출연체
202511,X0455965488226319910,Y1149843444719871169,202412,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202511,X0455965488226319910,Y1149843444719871169,202510,6000,신용카드사,신용도판단,대출연체,신용카드대금연체
202512,X0455965488226319910,X8831649098422122603,202508,8500,신용카드사,신용도판단,대출연체,카드대출연체
202512,X0455965488226319910,Y1149843444719871169,202510,6000,신용카드사,신용도판단,대출연체,신용카드대금연체
202512,X0455965488226319910,Y1149843444719871169,202412,900,신용카드사,신용도판단,대출연체,신용카드대금연체
202312,X0456268139651732219,X7109382358008402523,201711,1300,신용카드사,신용도판단,대출연체,신용카드대금연체
202401,X0456268139651732219,X7109382358008402523,201711,1300,신용카드사,신용도판단,대출연체,신용카드대금연체
202402,X0456268139651732219,X7109382358008402523,201711,1300,신용카드사,신용도판단,대출연체,신용카드대금연체
202403,X0456268139651732219,X7109382358008402523,201711,1300,신용카드사,신용도판단,대출연체,신용카드대금연체
202404,X0456268139651732219,X7109382358008402523,201711,1300,신용카드사,신용도판단,대출연체,신용카드대금연체
202405,X0456268139651732219,X7109382358008402523,201711,1300,신용카드사,신용도판단,대출연체,신용카드대금연체
202406,X0456268139651732219,X7109382358008402523,201711,1300,신용카드사,신용도판단,대출연체,신용카드대금연체
202407,X0456268139651732219,X7109382358008402523,201711,1300,신용카드사,신용도판단,대출연체,신용카드대금연체
202408,X0456268139651732219,X7109382358008402523,201711,1300,신용카드사,신용도판단,대출연체,신용카드대금연체
202409,X0456268139651732219,X7109382358008402523,201711,1300,신용카드사,신용도판단,대출연체,신용카드대금연체
202410,X0456268139651732219,X7109382358008402523,201711,1300,신용카드사,신용도판단,대출연체,신용카드대금연체
202312,X0472554518406992051,X7848647136941658321,201911,6500,신용카드사,신용도판단,대출연체,신용카드대금연체
202312,X0472554518406992051,X8022024132296523721,202305,760,기타,신용도판단,지금보증대지급,지금보증대지급
202401,X0472554518406992051,X7848647136941658321,201911,6500,신용카드사,신용도판단,대출연체,신용카드대금연체
202401,X0472554518406992051,X8022024132296523721,202305,760,기타,신용도판단,지금보증대지급,지금보증대지급
202402,X0472554518406992051,X7848647136941658321,201911,6500,신용카드사,신용도판단,대출연체,신용카드대금연체
202402,X0472554518406992051,X8022024132296523721,202305,760,기타,신용도판단,지금보증대지급,지금보증대지급
202403,X0472554518406992051,X7848647136941658321,201911,6500,신용카드사,신용도판단,대출연체,신용카드대금연체
202404,X0472554518406992051,X7848647136941658321,201911,6500,신용카드사,신용도판단,대출연체,신용카드대금연체
202405,X0472554518406992051,X7848647136941658321,201911,6500,신용카드사,신용도판단,대출연체,신용카드대금연체
202406,X0472554518406992051,X7848647136941658321,201911,6500,신용카드사,신용도판단,대출연체,신용카드대금연체
202407,X0472554518406992051,X7848647136941658321,201911,6500,신용카드사,신용도판단,대출연체,신용카드대금연체
202312,X0474444465014724107,X1839659711069271896,202005,1600,캐피탈,신용도판단,대출연체,원금이자연체
202312,X0474444465014724107,X2304039654898493228,201901,4400,신용카드사,신용도판단,대출연체,신용카드대금연체
202312,X0474444465014724107,X2808471037456008197,202309,2800,캐피탈,신용도판단,대출연체,원금이자연체
202312,X0474444465014724107,X2808471037456008197,202211,5000,캐피탈,신용도판단,대출연체,원금이자연체
202312,X0474444465014724107,X5737235963254491634,202011,1500,은행,신용도판단,대출연체,원금이자연체
202312,X0474444465014724107,Y3307984968389331286,202208,1600,신용카드사,신용도판단,대출연체,신용카드대금연체
202401,X0474444465014724107,X1839659711069271896,202005,1600,캐피탈,신용도판단,대출연체,원금이자연체
202401,X0474444465014724107,X2304039654898493228,201901,4400,신용카드사,신용도판단,대출연체,신용카드대금연체
202401,X0474444465014724107,X2808471037456008197,202309,2800,캐피탈,신용도판단,대출연체,원금이자연체
202401,X0474444465014724107,X2808471037456008197,202211,5000,캐피탈,신용도판단,대출연체,원금이자연체
202401,X0474444465014724107,X5737235963254491634,202011,1500,은행,신용도판단,대출연체,원금이자연체
202401,X0474444465014724107,Y3307984968389331286,202208,1600,신용카드사,신용도판단,대출연체,신용카드대금연체
202402,X0474444465014724107,X1839659711069271896,202005,1600,캐피탈,신용도판단,대출연체,원금이자연체
202402,X0474444465014724107,X2304039654898493228,201901,4400,신용카드사,신용도판단,대출연체,신용카드대금연체
202402,X0474444465014724107,X2808471037456008197,202211,5000,캐피탈,신용도판단,대출연체,원금이자연체
202402,X0474444465014724107,X2808471037456008197,202309,2800,캐피탈,신용도판단,대출연체,원금이자연체
202402,X0474444465014724107,X5737235963254491634,202011,1500,은행,신용도판단,대출연체,원금이자연체
202402,X0474444465014724107,Y3307984968389331286,202208,1600,신용카드사,신용도판단,대출연체,신용카드대금연체
202403,X0474444465014724107,X1839659711069271896,202005,1600,캐피탈,신용도판단,대출연체,원금이자연체
202403,X0474444465014724107,X2304039654898493228,201901,4400,신용카드사,신용도판단,대출연체,신용카드대금연체
202403,X0474444465014724107,X2808471037456008197,202309,2800,캐피탈,신용도판단,대출연체,원금이자연체
202403,X0474444465014724107,X2808471037456008197,202211,5000,캐피탈,신용도판단,대출연체,원금이자연체
202403,X0474444465014724107,X5737235963254491634,202011,1500,은행,신용도판단,대출연체,원금이자연체
202403,X0474444465014724107,Y3307984968389331286,202208,1600,신용카드사,신용도판단,대출연체,신용카드대금연체
202404,X0474444465014724107,X1839659711069271896,202005,1600,캐피탈,신용도판단,대출연체,원금이자연체
202404,X0474444465014724107,X2304039654898493228,201901,4400,신용카드사,신용도판단,대출연체,신용카드대금연체
202404,X0474444465014724107,X2808471037456008197,202211,5000,캐피탈,신용도판단,대출연체,원금이자연체
202404,X0474444465014724107,X2808471037456008197,202309,2800,캐피탈,신용도판단,대출연체,원금이자연체
202404,X0474444465014724107,Y3307984968389331286,202208,1600,신용카드사,신용도판단,대출연체,신용카드대금연체
202405,X0474444465014724107,X1839659711069271896,202005,1600,캐피탈,신용도판단,대출연체,원금이자연체
202405,X0474444465014724107,X2304039654898493228,201901,4400,신용카드사,신용도판단,대출연체,신용카드대금연체
202405,X0474444465014724107,X2808471037456008197,202309,2800,캐피탈,신용도판단,대출연체,원금이자연체
202405,X0474444465014724107,Y3307984968389331286,202208,1600,신용카드사,신용도판단,대출연체,신용카드대금연체
202406,X0474444465014724107,X1839659711069271896,202005,1600,캐피탈,신용도판단,대출연체,원금이자연체
202406,X0474444465014724107,X2304039654898493228,201901,4400,신용카드사,신용도판단,대출연체,신용카드대금연체
202406,X0474444465014724107,X2808471037456008197,202309,2800,캐피탈,신용도판단,대출연체,원금이자연체
202406,X0474444465014724107,Y3307984968389331286,202208,1600,신용카드사,신용도판단,대출연체,신용카드대금연체
202407,X0474444465014724107,X1839659711069271896,202005,1600,캐피탈,신용도판단,대출연체,원금이자연체
202407,X0474444465014724107,X2304039654898493228,201901,4400,신용카드사,신용도판단,대출연체,신용카드대금연체
202407,X0474444465014724107,X2808471037456008197,202309,2800,캐피탈,신용도판단,대출연체,원금이자연체
202407,X0474444465014724107,Y3307984968389331286,202208,1600,신용카드사,신용도판단,대출연체,신용카드대금연체
202408,X0474444465014724107,X1839659711069271896,202005,1600,캐피탈,신용도판단,대출연체,원금이자연체
202408,X0474444465014724107,X2304039654898493228,201901,4400,신용카드사,신용도판단,대출연체,신용카드대금연체
202408,X0474444465014724107,X2808471037456008197,202309,2800,캐피탈,신용도판단,대출연체,원금이자연체
202408,X0474444465014724107,Y3307984968389331286,202208,1600,신용카드사,신용도판단,대출연체,신용카드대금연체
202409,X0474444465014724107,X1839659711069271896,202005,1600,캐피탈,신용도판단,대출연체,원금이자연체
202409,X0474444465014724107,X2304039654898493228,201901,4400,신용카드사,신용도판단,대출연체,신용카드대금연체
202409,X0474444465014724107,X2808471037456008197,202309,2800,캐피탈,신용도판단,대출연체,원금이자연체
202409,X0474444465014724107,Y3307984968389331286,202208,1600,신용카드사,신용도판단,대출연체,신용카드대금연체
202410,X0474444465014724107,X1839659711069271896,202005,1600,캐피탈,신용도판단,대출연체,원금이자연체
202410,X0474444465014724107,X2304039654898493228,201901,4400,신용카드사,신용도판단,대출연체,신용카드대금연체
202410,X0474444465014724107,X2808471037456008197,202309,2800,캐피탈,신용도판단,대출연체,원금이자연체
202410,X0474444465014724107,Y3307984968389331286,202208,1600,신용카드사,신용도판단,대출연체,신용카드대금연체
202411,X0474444465014724107,X1839659711069271896,202005,1600,캐피탈,신용도판단,대출연체,원금이자연체
202411,X0474444465014724107,X2304039654898493228,201901,4400,신용카드사,신용도판단,대출연체,신용카드대금연체
202411,X0474444465014724107,X2808471037456008197,202309,2800,캐피탈,신용도판단,대출연체,원금이자연체
202411,X0474444465014724107,Y3307984968389331286,202208,1600,신용카드사,신용도판단,대출연체,신용카드대금연체
202412,X0474444465014724107,X1839659711069271896,202005,1600,캐피탈,신용도판단,대출연체,원금이자연체
202412,X0474444465014724107,X2304039654898493228,201901,4400,신용카드사,신용도판단,대출연체,신용카드대금연체
202412,X0474444465014724107,X2808471037456008197,202309,2800,캐피탈,신용도판단,대출연체,원금이자연체
202412,X0474444465014724107,Y3307984968389331286,202208,1600,신용카드사,신용도판단,대출연체,신용카드대금연체
202501,X0474444465014724107,X1839659711069271896,202005,1600,캐피탈,신용도판단,대출연체,원금이자연체
202501,X0474444465014724107,X2304039654898493228,201901,4400,신용카드사,신용도판단,대출연체,신용카드대금연체
