No_Die,Ox_Chamber,process,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,Lot_Num,Wafer_Num,Datetime
NOLSM3391315,2,Oxidation,dry,1144.681131,O2,26.67,0.198,118,702.259,13,15,01-03-2026
NOLSM3401316,2,Oxidation,dry,1127.583511,O2,36.07,0.191,98,715.371,13,16,01-03-2026
NOLSM3411317,2,Oxidation,dry,919.1686609,O2,35.73,0.211,94,708.346,13,17,01-03-2026
NOLSM3421318,2,Oxidation,wet,1238.206078,H2O,25.39,0.2,174,720.639,13,18,01-03-2026
NOLSM3431319,2,Oxidation,dry,913.9708094,O2,36.43,0.209,70,711.451,13,19,01-03-2026
NOLSM3441320,3,Oxidation,dry,1091.414497,O2,37.56,0.208,87,705.974,13,20,01-03-2026
NOLSM3451321,3,Oxidation,dry,1149.044929,O2,35.42,0.205,113,702.475,13,21,01-03-2026
NOLSM3461322,3,Oxidation,wet,1133.633441,H2O,26.68,0.204,106,701.78,13,22,01-03-2026
NOLSM3471323,3,Oxidation,dry,1119.207556,O2,27.56,0.217,50,711.92,13,23,01-03-2026
NOLSM3481324,3,Oxidation,wet,1263.692964,H2O,31.61,0.201,112,696.968,13,24,01-03-2026
NOLSM3491325,3,Oxidation,wet,964.1227727,H2O,38.72,0.194,78,706.048,13,25,01-03-2026
NOLSM3501326,3,Oxidation,dry,1059.003352,O2,32.91,0.197,80,707.196,13,26,01-03-2026
NOLSM3511327,3,Oxidation,dry,1045.950206,O2,44.94,0.218,89,715.913,13,27,01-03-2026
NOLSM352141352,2,Oxidation,wet,1002.632767,H2O,28.6,0.204,136,709.929,14,28,02-03-2026
NOLSM353142353,2,Oxidation,dry,1095.603032,O2,34.58,0.206,187,711.48,14,29,02-03-2026
NOLSM354143354,2,Oxidation,wet,1024.228342,H2O,34.95,0.205,86,704.277,14,30,02-03-2026
NOLSM355144355,2,Oxidation,dry,1135.410543,O2,32.59,0.219,73,703.992,14,31,02-03-2026
NOLSM356145356,2,Oxidation,dry,1120.141628,O2,38.02,0.201,73,722.297,14,32,02-03-2026
NOLSM357146357,2,Oxidation,wet,1210.039779,H2O,33.81,0.193,160,713.608,14,33,02-03-2026
NOLSM358147358,2,Oxidation,dry,1057.338499,O2,29.05,0.214,32,712.692,14,34,02-03-2026
NOLSM359148359,2,Oxidation,wet,1102.959028,H2O,49.91,0.211,32,714.415,14,35,02-03-2026
NOLSM360149360,2,Oxidation,dry,1007.501566,O2,32.47,0.195,32,715.404,14,36,02-03-2026
NOLSM3611410361,2,Oxidation,wet,1173.89048,H2O,32.82,0.221,90,713.132,14,37,02-03-2026
NOLSM3621411362,2,Oxidation,wet,1065.872191,H2O,36.66,0.186,95,714.295,14,38,02-03-2026
NOLSM3631412363,2,Oxidation,dry,1122.85504,O2,30.09,0.195,115,710.114,14,39,02-03-2026
NOLSM3641413364,2,Oxidation,wet,1106.298433,H2O,45.75,0.211,56,710.617,14,40,02-03-2026
NOLSM3651414365,2,Oxidation,wet,1194.703777,H2O,21.07,0.213,107,711.632,14,41,02-03-2026
NOLSM3661415366,2,Oxidation,wet,1045.230266,H2O,32.17,0.211,44,710.084,14,42,02-03-2026
NOLSM3671416367,2,Oxidation,dry,1135.91157,O2,29.66,0.211,99,721.666,14,43,02-03-2026
NOLSM3681417368,2,Oxidation,wet,1081.35277,H2O,41.58,0.213,214,701.383,14,44,02-03-2026
NOLSM3691418369,2,Oxidation,wet,1119.390949,H2O,40.55,0.214,152,720.58,14,45,02-03-2026
NOLSM3701419370,2,Oxidation,dry,1059.09193,O2,32.73,0.203,104,710.123,14,46,02-03-2026
NOLSM3711420371,2,Oxidation,dry,1048.341956,O2,36.93,0.227,75,707.342,14,47,02-03-2026
NOLSM3721421372,2,Oxidation,dry,1061.213261,O2,36.8,0.224,118,699.524,14,48,02-03-2026
NOLSM3731422373,2,Oxidation,wet,1234.4456,H2O,35.97,0.203,127,689.684,14,49,02-03-2026
NOLSM3741423374,2,Oxidation,wet,1141.416407,H2O,38.57,0.214,100,699.636,14,50,02-03-2026
NOLSM3751424375,2,Oxidation,dry,1275.211613,O2,23.7,0.216,156,715.142,14,51,02-03-2026
NOLSM3761425376,2,Oxidation,wet,1064.818618,H2O,33.22,0.193,117,726.612,14,52,02-03-2026
NOLSM3771426377,2,Oxidation,wet,1096.840945,H2O,31.04,0.194,128,710.886,14,53,02-03-2026
NOLSM3781427378,2,Oxidation,wet,1015.972338,H2O,33.45,0.211,168,714.473,14,54,02-03-2026
NOLSM352141,1,Oxidation,wet,1002.158831,H2O,44.83,0.204,136,709.929,14,1,02-03-2026
NOLSM353142,1,Oxidation,dry,1087.566152,O2,32.51,0.206,187,711.48,14,2,02-03-2026
NOLSM354143,1,Oxidation,wet,1005.152775,H2O,32.99,0.205,86,704.277,14,3,02-03-2026
NOLSM355144,1,Oxidation,dry,1125.847158,O2,24.63,0.219,73,703.992,14,4,02-03-2026
NOLSM356145,1,Oxidation,dry,1107.490734,O2,32.07,0.201,73,722.297,14,5,02-03-2026
NOLSM357146,1,Oxidation,wet,1205.923968,H2O,36.97,0.193,160,706.977,14,6,02-03-2026
NOLSM358147,1,Oxidation,dry,1038.629938,O2,35.62,0.214,136,687.846,14,7,02-03-2026
NOLSM359148,1,Oxidation,wet,1091.609203,H2O,35.15,0.211,-6,703.879,14,8,02-03-2026
NOLSM360149,2,Oxidation,dry,1006.213827,O2,41.81,0.195,146,708.76,14,9,02-03-2026
NOLSM3611410,2,Oxidation,wet,1162.223804,H2O,32.99,0.221,90,699.764,14,10,02-03-2026
NOLSM3621411,2,Oxidation,wet,1054.550286,H2O,29.68,0.186,95,703.084,14,11,02-03-2026
NOLSM3631412,2,Oxidation,dry,1104.847576,O2,30.09,0.195,115,697.441,14,12,02-03-2026
NOLSM3641413,2,Oxidation,wet,1105.258786,H2O,45.75,0.211,56,709.507,14,13,02-03-2026
NOLSM3651414,2,Oxidation,wet,1176.540075,H2O,21.07,0.213,107,709.609,14,14,02-03-2026
NOLSM3661415,2,Oxidation,wet,1028.788203,H2O,32.17,0.211,44,714.056,14,15,02-03-2026
NOLSM3671416,2,Oxidation,dry,1123.465862,O2,29.66,0.211,99,721.666,14,16,02-03-2026
NOLSM3681417,2,Oxidation,wet,1064.703459,H2O,41.58,0.213,214,701.383,14,17,02-03-2026
NOLSM3691418,3,Oxidation,wet,1103.982904,H2O,40.55,0.214,152,720.58,14,18,02-03-2026
NOLSM3701419,3,Oxidation,dry,1053.915797,O2,32.73,0.203,104,710.123,14,19,02-03-2026
NOLSM3711420,3,Oxidation,dry,1028.348608,O2,36.93,0.227,75,707.342,14,20,02-03-2026
NOLSM3721421,3,Oxidation,dry,1046.235499,O2,36.8,0.224,118,699.524,14,21,02-03-2026
NOLSM3731422,3,Oxidation,wet,1219.387124,H2O,35.97,0.203,127,689.684,14,22,02-03-2026
NOLSM3741423,3,Oxidation,wet,1139.572945,H2O,38.57,0.214,100,699.636,14,23,02-03-2026
NOLSM3751424,3,Oxidation,dry,1268.921933,O2,23.7,0.216,156,715.142,14,24,02-03-2026
NOLSM3761425,1,Oxidation,wet,1050.490445,H2O,33.22,0.193,117,726.612,14,25,02-03-2026
NOLSM3771426,1,Oxidation,wet,1080.087128,H2O,31.04,0.194,128,710.886,14,26,02-03-2026
NOLSM3781427,1,Oxidation,wet,998.8926561,H2O,33.45,0.211,168,714.473,14,27,02-03-2026
NOLSM379151379,2,Oxidation,dry,1102.562862,O2,39.27,0.217,135,687.582,15,28,03-03-2026
NOLSM380152380,2,Oxidation,dry,1091.295197,O2,35.16,0.216,93,715.034,15,29,03-03-2026
NOLSM381153381,2,Oxidation,wet,1144.147525,H2O,31.99,0.22,103,695.458,15,30,03-03-2026
NOLSM382154382,2,Oxidation,wet,970.1973454,H2O,45.08,0.205,87,705.094,15,31,03-03-2026
NOLSM383155383,2,Oxidation,wet,976.9096318,H2O,43.66,0.22,103,706.963,15,32,03-03-2026
NOLSM384156384,2,Oxidation,dry,1134.496155,O2,26.92,0.196,121,726.396,15,33,03-03-2026
NOLSM385157385,2,Oxidation,wet,1172.764268,H2O,31.95,0.202,115,712.17,15,34,03-03-2026
NOLSM386158386,2,Oxidation,dry,983.9886844,O2,38.88,0.212,129,715.453,15,35,03-03-2026
NOLSM387159387,2,Oxidation,dry,1087.631531,O2,32.8,0.202,118,710.526,15,36,03-03-2026
NOLSM3881510388,2,Oxidation,dry,1158.468349,O2,31.86,0.204,149,703.333,15,37,03-03-2026
NOLSM3891511389,2,Oxidation,dry,977.3231836,O2,39.51,0.201,71,704.586,15,38,03-03-2026
NOLSM3901512390,2,Oxidation,dry,1003.085933,O2,32.88,0.207,86,711.111,15,39,03-03-2026
NOLSM3911513391,2,Oxidation,wet,1120.829635,H2O,38.11,0.211,157,707.715,15,40,03-03-2026
NOLSM3921514392,2,Oxidation,wet,951.2067666,H2O,39.93,0.199,74,717.885,15,41,03-03-2026
NOLSM3931515393,2,Oxidation,wet,1047.61023,H2O,35.63,0.218,112,713.608,15,42,03-03-2026
NOLSM3941516394,2,Oxidation,dry,1143.152743,O2,28.6,0.194,103,712.692,15,43,03-03-2026
NOLSM3951517395,2,Oxidation,wet,1025.049013,H2O,34.58,0.212,198,714.415,15,44,03-03-2026
NOLSM3961518396,2,Oxidation,wet,1253.373821,H2O,34.95,0.212,22,715.404,15,45,03-03-2026
NOLSM3971519397,2,Oxidation,wet,1099.451037,H2O,32.59,0.206,87,713.132,15,46,03-03-2026
NOLSM3981520398,2,Oxidation,wet,1103.383281,H2O,38.02,0.208,66,714.295,15,47,03-03-2026
NOLSM3991521399,2,Oxidation,dry,1108.161705,O2,33.81,0.212,118,710.114,15,48,03-03-2026
NOLSM4001522400,2,Oxidation,dry,1259.283449,O2,29.05,0.207,177,710.617,15,49,03-03-2026
NOLSM4011523401,2,Oxidation,dry,1203.920834,O2,49.91,0.203,70,711.632,15,50,03-03-2026
NOLSM4021524402,2,Oxidation,dry,1051.65323,O2,32.47,0.215,145,710.084,15,51,03-03-2026
NOLSM4031525403,2,Oxidation,wet,1186.644888,H2O,32.82,0.207,74,715.033,15,52,03-03-2026
NOLSM4041526404,2,Oxidation,wet,926.4656786,H2O,36.66,0.192,75,707.538,15,53,03-03-2026
NOLSM4051527405,2,Oxidation,dry,1190.76007,O2,35.44,0.211,108,700.719,15,54,03-03-2026
NOLSM379151,1,Oxidation,dry,1083.983412,O2,39.27,0.217,135,687.582,15,1,03-03-2026
NOLSM380152,1,Oxidation,dry,1086.566187,O2,35.16,0.216,93,715.034,15,2,03-03-2026
NOLSM381153,1,Oxidation,wet,1134.145559,H2O,31.99,0.22,103,695.458,15,3,03-03-2026
NOLSM382154,1,Oxidation,wet,965.9786545,H2O,45.08,0.205,87,705.094,15,4,03-03-2026
NOLSM383155,1,Oxidation,wet,973.956033,H2O,43.66,0.22,103,706.963,15,5,03-03-2026
NOLSM384156,2,Oxidation,dry,1130.769716,O2,26.92,0.196,121,726.396,15,6,03-03-2026
NOLSM385157,2,Oxidation,wet,1158.431956,H2O,31.95,0.202,115,712.17,15,7,03-03-2026
NOLSM386158,2,Oxidation,dry,979.650965,O2,38.88,0.212,129,715.453,15,8,03-03-2026
NOLSM387159,2,Oxidation,dry,1080.659425,O2,34.22,0.202,118,710.526,15,9,03-03-2026
NOLSM3881510,2,Oxidation,dry,1151.870204,O2,41.86,0.204,149,703.333,15,10,03-03-2026
NOLSM3891511,2,Oxidation,dry,957.766933,O2,37.63,0.201,71,704.586,15,11,03-03-2026
NOLSM3901512,2,Oxidation,dry,994.5914794,O2,31.62,0.207,86,711.111,15,12,03-03-2026
NOLSM3911513,2,Oxidation,wet,1109.556941,H2O,39.16,0.211,157,707.715,15,13,03-03-2026
NOLSM3921514,3,Oxidation,wet,946.9847745,H2O,30.39,0.199,74,717.885,15,14,03-03-2026
NOLSM3931515,3,Oxidation,wet,1035.837417,H2O,32.41,0.218,112,719.155,15,15,03-03-2026
NOLSM3941516,3,Oxidation,dry,1123.535235,O2,32.09,0.194,103,708.835,15,16,03-03-2026
NOLSM3951517,3,Oxidation,wet,1008.695922,H2O,28.58,0.212,198,702.21,15,17,03-03-2026
NOLSM3961518,3,Oxidation,wet,1245.405248,H2O,29.14,0.212,22,716.603,15,18,03-03-2026
NOLSM3971519,3,Oxidation,wet,1086.851132,H2O,35.67,0.206,87,703.77,15,19,03-03-2026
NOLSM3981520,3,Oxidation,wet,1088.463298,H2O,33.59,0.208,66,717.257,15,20,03-03-2026
NOLSM3991521,3,Oxidation,dry,1107.041866,O2,32.59,0.212,118,719.257,15,21,03-03-2026
NOLSM4001522,1,Oxidation,dry,1253.421216,O2,35.13,0.207,177,688.973,15,22,03-03-2026
NOLSM4011523,1,Oxidation,dry,1193.178092,O2,34.26,0.203,70,709.629,15,23,03-03-2026
NOLSM4021524,1,Oxidation,dry,1045.668115,O2,29.21,0.215,145,708.401,15,24,03-03-2026
NOLSM4031525,1,Oxidation,wet,1178.507201,H2O,49.17,0.207,74,715.033,15,25,03-03-2026
NOLSM4041526,1,Oxidation,wet,923.5846197,H2O,37.17,0.192,75,707.538,15,26,03-03-2026
NOLSM4051527,1,Oxidation,dry,1171.352233,O2,29.45,0.211,108,700.719,15,27,03-03-2026
NOLSM406161406,3,Oxidation,dry,991.6135528,O2,31.82,0.2,144,699.27,16,28,04-03-2026
NOLSM407162407,3,Oxidation,wet,1220.285145,H2O,31.5,0.194,125,715.864,16,29,04-03-2026
NOLSM408163408,3,Oxidation,dry,886.5626792,O2,40.05,0.217,45,731.855,16,30,04-03-2026
NOLSM409164409,3,Oxidation,dry,977.2935883,O2,30.73,0.201,101,708.933,16,31,04-03-2026
NOLSM410165410,3,Oxidation,wet,1049.918599,H2O,29.77,0.204,165,727.813,16,32,04-03-2026
NOLSM411166411,3,Oxidation,dry,1081.545297,O2,33.67,0.204,191,715.571,16,33,04-03-2026
NOLSM412167412,3,Oxidation,dry,993.6569872,O2,31.86,0.2,145,711.227,16,34,04-03-2026
NOLSM413168413,3,Oxidation,wet,1094.402314,H2O,37.22,0.199,181,700.922,16,35,04-03-2026
NOLSM414169414,3,Oxidation,dry,1004.454289,O2,26.54,0.203,201,704.243,16,36,04-03-2026
NOLSM4151610415,3,Oxidation,wet,1058.254849,H2O,33.08,0.204,79,698.757,16,37,04-03-2026
NOLSM4161611416,3,Oxidation,wet,900.8044824,H2O,38.04,0.189,59,689.56,16,38,04-03-2026
NOLSM4171612417,3,Oxidation,dry,1019.557727,O2,23.54,0.218,89,689.098,16,39,04-03-2026
NOLSM4181613418,3,Oxidation,wet,1203.212009,H2O,36.26,0.214,162,708.735,16,40,04-03-2026
NOLSM4191614419,3,Oxidation,dry,1206.605804,O2,40.93,0.219,31,704.397,16,41,04-03-2026
NOLSM4201615420,3,Oxidation,wet,1056.866358,H2O,33.96,0.213,119,709.226,16,42,04-03-2026
NOLSM4211616421,3,Oxidation,wet,1111.407979,H2O,34.52,0.201,96,705.135,16,43,04-03-2026
NOLSM4221617422,3,Oxidation,wet,1185.254635,H2O,33.22,0.204,154,715.384,16,44,04-03-2026
NOLSM4231618423,3,Oxidation,wet,1001.375924,H2O,42.84,0.207,105,713.258,16,45,04-03-2026
NOLSM4241619424,3,Oxidation,dry,1098.245146,O2,38.09,0.202,92,704.106,16,46,04-03-2026
NOLSM4251620425,3,Oxidation,dry,1055.609711,O2,37.47,0.206,101,710.163,16,47,04-03-2026
NOLSM4261621426,3,Oxidation,dry,977.6247801,O2,28.8,0.209,157,706.425,16,48,04-03-2026
NOLSM4271622427,3,Oxidation,wet,996.4975355,H2O,36.83,0.218,150,712.521,16,49,04-03-2026
NOLSM4281623428,3,Oxidation,dry,1094.963471,O2,39.89,0.197,152,704.964,16,50,04-03-2026
NOLSM4291624429,3,Oxidation,dry,1126.965306,O2,39.79,0.21,76,704.293,16,51,04-03-2026
NOLSM4301625430,3,Oxidation,dry,1043.987046,O2,38.44,0.213,72,703.974,16,52,04-03-2026
NOLSM4311626431,3,Oxidation,dry,1241.095664,O2,41.16,0.187,76,717.389,16,53,04-03-2026
NOLSM4321627432,3,Oxidation,dry,1066.948699,O2,37.65,0.208,15,713.608,16,54,04-03-2026
NOLSM406161,1,Oxidation,dry,988.7523767,O2,31.82,0.206,144,699.27,16,1,04-03-2026
NOLSM407162,1,Oxidation,wet,1219.777119,H2O,31.5,0.213,125,715.864,16,2,04-03-2026
NOLSM408163,2,Oxidation,dry,871.2174717,O2,40.05,0.21,45,731.855,16,3,04-03-2026
NOLSM409164,2,Oxidation,dry,964.7651908,O2,30.73,0.202,101,708.933,16,4,04-03-2026
NOLSM410165,2,Oxidation,wet,1044.923717,H2O,29.77,0.202,165,727.813,16,5,04-03-2026
NOLSM411166,2,Oxidation,dry,1070.231635,O2,33.67,0.207,191,715.571,16,6,04-03-2026
NOLSM412167,2,Oxidation,dry,979.53606,O2,31.86,0.214,145,711.227,16,7,04-03-2026
NOLSM413168,2,Oxidation,wet,1077.074711,H2O,37.22,0.2,181,700.922,16,8,04-03-2026
NOLSM414169,2,Oxidation,dry,1002.164896,O2,26.54,0.205,201,704.243,16,9,04-03-2026
NOLSM4151610,2,Oxidation,wet,1053.279322,H2O,33.08,0.22,79,698.757,16,10,04-03-2026
NOLSM4161611,2,Oxidation,wet,883.8605461,H2O,38.04,0.2,59,689.56,16,11,04-03-2026
NOLSM4171612,3,Oxidation,dry,1011.956891,O2,23.54,0.207,89,689.098,16,12,04-03-2026
NOLSM4181613,3,Oxidation,wet,1196.780549,H2O,36.26,0.214,162,708.735,16,13,04-03-2026
NOLSM4191614,3,Oxidation,dry,1191.265408,O2,40.93,0.219,31,704.397,16,14,04-03-2026
NOLSM4201615,3,Oxidation,wet,1042.761316,H2O,33.96,0.213,119,709.226,16,15,04-03-2026
NOLSM4211616,3,Oxidation,wet,1096.383491,H2O,34.52,0.201,96,705.135,16,16,04-03-2026
NOLSM4221617,3,Oxidation,wet,1178.744819,H2O,33.22,0.204,154,715.384,16,17,04-03-2026
NOLSM4231618,3,Oxidation,wet,984.5019409,H2O,42.84,0.207,105,713.258,16,18,04-03-2026
NOLSM4241619,3,Oxidation,dry,1091.00686,O2,38.09,0.202,92,704.106,16,19,04-03-2026
NOLSM4251620,1,Oxidation,dry,1049.206345,O2,37.47,0.206,101,710.163,16,20,04-03-2026
NOLSM4261621,1,Oxidation,dry,972.0137176,O2,28.8,0.209,157,706.425,16,21,04-03-2026
NOLSM4271622,1,Oxidation,wet,984.6375924,H2O,36.83,0.218,150,712.521,16,22,04-03-2026
NOLSM4281623,1,Oxidation,dry,1085.285011,O2,39.89,0.197,152,704.964,16,23,04-03-2026
NOLSM4291624,1,Oxidation,dry,1126.050929,O2,39.79,0.21,76,704.293,16,24,04-03-2026
NOLSM4301625,1,Oxidation,dry,1043.306427,O2,38.44,0.213,72,703.974,16,25,04-03-2026
NOLSM4311626,1,Oxidation,dry,1223.701023,O2,41.16,0.187,76,717.389,16,26,04-03-2026
NOLSM4321627,1,Oxidation,dry,1049.739648,O2,37.65,0.208,15,694.251,16,27,04-03-2026
NOLSM433171433,3,Oxidation,wet,1061.273559,H2O,40.92,0.205,36,712.692,17,28,05-03-2026
NOLSM434172434,3,Oxidation,dry,1209.08899,O2,30.34,0.203,50,714.415,17,29,05-03-2026
NOLSM435173435,3,Oxidation,dry,1078.158347,O2,34.53,0.202,152,715.404,17,30,05-03-2026
NOLSM436174436,3,Oxidation,wet,1054.263752,H2O,30.03,0.194,128,713.132,17,31,05-03-2026
NOLSM437175437,3,Oxidation,dry,1065.177048,O2,35.89,0.196,184,714.295,17,32,05-03-2026
NOLSM438176438,3,Oxidation,dry,1080.261963,O2,38.25,0.194,87,710.114,17,33,05-03-2026
NOLSM439177439,3,Oxidation,dry,959.0793774,O2,34.68,0.205,135,710.617,17,34,05-03-2026
NOLSM440178440,3,Oxidation,wet,994.8957488,H2O,33.83,0.224,69,711.632,17,35,05-03-2026
NOLSM441179441,3,Oxidation,dry,1186.454003,O2,32.8,0.219,140,710.084,17,36,05-03-2026
NOLSM4421710442,3,Oxidation,wet,1032.829261,H2O,31.86,0.208,156,702.48,17,37,05-03-2026
NOLSM4431711443,3,Oxidation,dry,1228.312436,O2,39.51,0.221,179,699.443,17,38,05-03-2026
NOLSM4441712444,3,Oxidation,dry,1111.093061,O2,32.88,0.196,94,732.934,17,39,05-03-2026
NOLSM4451713445,3,Oxidation,dry,1194.636712,O2,38.11,0.204,117,698.408,17,40,05-03-2026
NOLSM4461714446,3,Oxidation,dry,1199.039186,O2,39.93,0.198,127,703.065,17,41,05-03-2026
NOLSM4471715447,3,Oxidation,wet,1024.309872,H2O,35.63,0.194,101,704.971,17,42,05-03-2026
NOLSM4481716448,3,Oxidation,dry,1279.508099,O2,28.6,0.206,145,720.692,17,43,05-03-2026
NOLSM4491717449,3,Oxidation,dry,1148.856071,O2,34.58,0.198,103,716.015,17,44,05-03-2026
NOLSM4501718450,3,Oxidation,wet,1136.476229,H2O,34.95,0.18,129,716.476,17,45,05-03-2026
NOLSM4511719451,3,Oxidation,dry,1097.860584,O2,32.59,0.217,133,714.01,17,46,05-03-2026
NOLSM4521720452,3,Oxidation,dry,1193.047503,O2,38.02,0.195,146,717.093,17,47,05-03-2026
NOLSM4531721453,3,Oxidation,dry,875.3741798,O2,33.81,0.195,56,703.906,17,48,05-03-2026
NOLSM4541722454,3,Oxidation,wet,1067.950936,H2O,29.05,0.196,112,699.474,17,49,05-03-2026
NOLSM4551723455,3,Oxidation,dry,1030.947182,O2,49.91,0.212,181,699.373,17,50,05-03-2026
NOLSM4561724456,3,Oxidation,dry,1124.275922,O2,32.47,0.199,118,690.935,17,51,05-03-2026
NOLSM4571725457,3,Oxidation,dry,1100.744206,O2,32.82,0.213,154,716.105,17,52,05-03-2026
NOLSM4581726458,3,Oxidation,wet,1092.920893,H2O,36.66,0.204,168,700.377,17,53,05-03-2026
NOLSM4591727459,3,Oxidation,dry,1143.475766,O2,35.44,0.229,152,707.673,17,54,05-03-2026
NOLSM433171,2,Oxidation,wet,1042.225656,H2O,40.92,0.205,36,696.568,17,1,05-03-2026
NOLSM434172,2,Oxidation,dry,1206.156307,O2,30.34,0.203,50,712.968,17,2,05-03-2026
NOLSM435173,2,Oxidation,dry,1070.912518,O2,34.53,0.202,152,705.657,17,3,05-03-2026
NOLSM436174,2,Oxidation,wet,1037.663946,H2O,30.03,0.194,128,720.82,17,4,05-03-2026
NOLSM437175,2,Oxidation,dry,1059.925652,O2,35.89,0.196,184,702.213,17,5,05-03-2026
NOLSM438176,2,Oxidation,dry,1079.17731,O2,38.25,0.194,87,726.498,17,6,05-03-2026
NOLSM439177,2,Oxidation,dry,956.3148219,O2,34.68,0.205,135,698.961,17,7,05-03-2026
NOLSM440178,2,Oxidation,wet,993.7065582,H2O,33.83,0.224,69,712.825,17,8,05-03-2026
NOLSM441179,3,Oxidation,dry,1183.538362,O2,33.38,0.219,140,710.234,17,9,05-03-2026
NOLSM4421710,3,Oxidation,wet,1027.895912,H2O,30.74,0.208,156,702.48,17,10,05-03-2026
